,year,stars,topic
556,2021,0,anndata
557,2022,0,anndata
558,2023,0,anndata
559,2024,0,anndata
560,2025,2992,anndata
561,2013,0,annotated-corpora
562,2016,0,annotated-corpora
563,2017,0,annotated-corpora
564,2018,0,annotated-corpora
565,2019,0,annotated-corpora
566,2020,0,annotated-corpora
567,2021,0,annotated-corpora
568,2022,106,annotated-corpora
569,2023,106,annotated-corpora
570,2024,106,annotated-corpora
571,2025,106,annotated-corpora
572,2013,0,annotation
573,2016,0,annotation
574,2017,0,annotation
575,2018,0,annotation
576,2019,48,annotation
577,2020,48,annotation
578,2021,69,annotation
579,2022,69,annotation
580,2023,237,annotation
581,2024,237,annotation
582,2025,1735,annotation
583,2013,0,annotation-enrichment
584,2016,0,annotation-enrichment
585,2017,0,annotation-enrichment
586,2018,0,annotation-enrichment
587,2019,0,annotation-enrichment
588,2020,88,annotation-enrichment
589,2021,88,annotation-enrichment
590,2022,88,annotation-enrichment
591,2023,88,annotation-enrichment
592,2024,88,annotation-enrichment
593,2025,88,annotation-enrichment
594,2013,0,annotation-pipeline
595,2016,0,annotation-pipeline
596,2017,0,annotation-pipeline
597,2018,0,annotation-pipeline
598,2019,0,annotation-pipeline
599,2020,0,annotation-pipeline
600,2021,0,annotation-pipeline
601,2022,0,annotation-pipeline
602,2023,59,annotation-pipeline
603,2024,59,annotation-pipeline
604,2025,59,annotation-pipeline
605,2013,0,annotation-tool
606,2016,0,annotation-tool
607,2017,0,annotation-tool
608,2018,0,annotation-tool
609,2019,0,annotation-tool
610,2020,0,annotation-tool
611,2021,0,annotation-tool
612,2022,0,annotation-tool
613,2023,0,annotation-tool
614,2024,0,annotation-tool
615,2025,392,annotation-tool
616,2013,0,annotations
617,2016,0,annotations
618,2017,0,annotations
619,2018,0,annotations
620,2019,0,annotations
621,2020,0,annotations
622,2021,0,annotations
623,2022,99,annotations
624,2023,227,annotations
625,2024,227,annotations
626,2025,227,annotations
627,2013,0,antibody
628,2016,0,antibody
629,2017,0,antibody
630,2018,0,antibody
631,2019,0,antibody
632,2020,25,antibody
633,2021,25,antibody
634,2022,25,antibody
635,2023,25,antibody
636,2024,167,antibody
637,2025,167,antibody
638,2013,0,antibody-numbering
639,2016,0,antibody-numbering
640,2017,0,antibody-numbering
641,2018,0,antibody-numbering
642,2019,0,antibody-numbering
643,2020,25,antibody-numbering
644,2021,25,antibody-numbering
645,2022,25,antibody-numbering
646,2023,25,antibody-numbering
647,2024,25,antibody-numbering
648,2025,25,antibody-numbering
649,2013,0,antibody-sequences
650,2016,0,antibody-sequences
651,2017,0,antibody-sequences
652,2018,0,antibody-sequences
653,2019,0,antibody-sequences
654,2020,25,antibody-sequences
655,2021,25,antibody-sequences
656,2022,25,antibody-sequences
657,2023,25,antibody-sequences
658,2024,25,antibody-sequences
659,2025,25,antibody-sequences
660,2013,0,anticancer-peptides
661,2016,0,anticancer-peptides
662,2017,0,anticancer-peptides
663,2018,0,anticancer-peptides
664,2019,24,anticancer-peptides
665,2020,24,anticancer-peptides
666,2021,24,anticancer-peptides
667,2022,24,anticancer-peptides
668,2023,24,anticancer-peptides
669,2024,24,anticancer-peptides
670,2025,24,anticancer-peptides
671,2013,0,antigen
672,2016,0,antigen
673,2017,0,antigen
674,2018,39,antigen
675,2019,39,antigen
676,2020,39,antigen
677,2021,39,antigen
678,2022,39,antigen
679,2023,39,antigen
680,2024,39,antigen
681,2025,39,antigen
682,2013,0,anvio
683,2016,0,anvio
684,2017,0,anvio
685,2018,0,anvio
686,2019,0,anvio
687,2020,0,anvio
688,2021,0,anvio
689,2022,0,anvio
690,2023,0,anvio
691,2024,0,anvio
692,2025,489,anvio
693,2013,0,api
694,2016,0,api
695,2017,0,api
696,2018,0,api
697,2019,0,api
698,2020,0,api
699,2021,27,api
700,2022,93,api
701,2023,93,api
702,2024,209,api
703,2025,209,api
704,2013,0,api-client
705,2016,0,api-client
706,2017,0,api-client
707,2018,0,api-client
708,2019,67,api-client
709,2020,67,api-client
710,2021,67,api-client
711,2022,103,api-client
712,2023,103,api-client
713,2024,103,api-client
714,2025,103,api-client
715,2013,0,application
716,2016,0,application
717,2017,0,application
718,2018,0,application
719,2019,0,application
720,2020,0,application
721,2021,0,application
722,2022,0,application
723,2023,0,application
724,2024,0,application
725,2025,1041,application
726,2013,0,applied-bioinformatics-lab
727,2016,0,applied-bioinformatics-lab
728,2017,0,applied-bioinformatics-lab
729,2018,0,applied-bioinformatics-lab
730,2019,0,applied-bioinformatics-lab
731,2020,45,applied-bioinformatics-lab
732,2021,45,applied-bioinformatics-lab
733,2022,45,applied-bioinformatics-lab
734,2023,45,applied-bioinformatics-lab
735,2024,45,applied-bioinformatics-lab
736,2025,45,applied-bioinformatics-lab
737,2013,0,approximate-string-matching
738,2016,0,approximate-string-matching
739,2017,0,approximate-string-matching
740,2018,0,approximate-string-matching
741,2019,0,approximate-string-matching
742,2020,0,approximate-string-matching
743,2021,58,approximate-string-matching
744,2022,58,approximate-string-matching
745,2023,58,approximate-string-matching
746,2024,58,approximate-string-matching
747,2025,58,approximate-string-matching
748,2013,0,archaea
749,2016,0,archaea
750,2017,0,archaea
751,2018,0,archaea
752,2019,0,archaea
753,2020,62,archaea
754,2021,62,archaea
755,2022,62,archaea
756,2023,62,archaea
757,2024,62,archaea
758,2025,621,archaea
759,2013,0,archived
760,2016,0,archived
761,2017,0,archived
762,2018,0,archived
763,2019,0,archived
764,2020,0,archived
765,2021,34,archived
766,2022,34,archived
767,2023,34,archived
768,2024,34,archived
769,2025,34,archived
770,2013,0,aromatherapy
771,2016,0,aromatherapy
772,2017,0,aromatherapy
773,2018,0,aromatherapy
774,2019,0,aromatherapy
775,2020,0,aromatherapy
776,2021,0,aromatherapy
777,2022,0,aromatherapy
778,2023,127,aromatherapy
779,2024,127,aromatherapy
780,2025,127,aromatherapy
781,2013,0,arrayfire
782,2016,0,arrayfire
783,2017,0,arrayfire
784,2018,15,arrayfire
785,2019,15,arrayfire
786,2020,15,arrayfire
787,2021,15,arrayfire
788,2022,15,arrayfire
789,2023,15,arrayfire
790,2024,15,arrayfire
791,2025,15,arrayfire
792,2013,0,artificial-intelligence
793,2016,0,artificial-intelligence
794,2017,19,artificial-intelligence
795,2018,19,artificial-intelligence
796,2019,145,artificial-intelligence
797,2020,185,artificial-intelligence
798,2021,212,artificial-intelligence
799,2022,212,artificial-intelligence
800,2023,451,artificial-intelligence
801,2024,451,artificial-intelligence
802,2025,2202,artificial-intelligence
803,2013,0,arvados
804,2016,0,arvados
805,2017,0,arvados
806,2018,0,arvados
807,2019,0,arvados
808,2020,0,arvados
809,2021,0,arvados
810,2022,0,arvados
811,2023,0,arvados
812,2024,0,arvados
813,2025,413,arvados
814,2013,0,ascii
815,2016,0,ascii
816,2017,0,ascii
817,2018,0,ascii
818,2019,20,ascii
819,2020,20,ascii
820,2021,20,ascii
821,2022,20,ascii
822,2023,20,ascii
823,2024,20,ascii
824,2025,20,ascii
825,2013,0,ascii-art
826,2016,0,ascii-art
827,2017,0,ascii-art
828,2018,0,ascii-art
829,2019,20,ascii-art
830,2020,20,ascii-art
831,2021,20,ascii-art
832,2022,20,ascii-art
833,2023,20,ascii-art
834,2024,20,ascii-art
835,2025,20,ascii-art
836,2013,0,assembler
837,2016,0,assembler
838,2017,0,assembler
839,2018,0,assembler
840,2019,0,assembler
841,2020,0,assembler
842,2021,0,assembler
843,2022,0,assembler
844,2023,36,assembler
845,2024,131,assembler
846,2025,131,assembler
847,2013,0,assembly
848,2016,0,assembly
849,2017,0,assembly
850,2018,0,assembly
851,2019,0,assembly
852,2020,0,assembly
853,2021,20,assembly
854,2022,41,assembly
855,2023,175,assembly
856,2024,586,assembly
857,2025,1465,assembly
858,2013,0,assembly-graphs
859,2016,0,assembly-graphs
860,2017,0,assembly-graphs
861,2018,0,assembly-graphs
862,2019,0,assembly-graphs
863,2020,55,assembly-graphs
864,2021,55,assembly-graphs
865,2022,55,assembly-graphs
866,2023,55,assembly-graphs
867,2024,55,assembly-graphs
868,2025,55,assembly-graphs
869,2013,0,asset-management
870,2016,0,asset-management
871,2017,0,asset-management
872,2018,0,asset-management
873,2019,0,asset-management
874,2020,0,asset-management
875,2021,103,asset-management
876,2022,103,asset-management
877,2023,103,asset-management
878,2024,103,asset-management
879,2025,103,asset-management
880,2013,0,async-programming
881,2016,0,async-programming
882,2017,0,async-programming
883,2018,0,async-programming
884,2019,20,async-programming
885,2020,20,async-programming
886,2021,20,async-programming
887,2022,20,async-programming
888,2023,20,async-programming
889,2024,20,async-programming
890,2025,20,async-programming
891,2013,0,atac
892,2016,0,atac
893,2017,0,atac
894,2018,0,atac
895,2019,0,atac
896,2020,0,atac
897,2021,0,atac
898,2022,0,atac
899,2023,0,atac
900,2024,0,atac
901,2025,398,atac
902,2013,0,atac-seq
903,2016,0,atac-seq
904,2017,0,atac-seq
905,2018,13,atac-seq
906,2019,13,atac-seq
907,2020,145,atac-seq
908,2021,145,atac-seq
909,2022,167,atac-seq
910,2023,167,atac-seq
911,2024,350,atac-seq
912,2025,350,atac-seq
913,2013,0,atomic-interactions
914,2016,0,atomic-interactions
915,2017,0,atomic-interactions
916,2018,0,atomic-interactions
917,2019,0,atomic-interactions
918,2020,0,atomic-interactions
919,2021,0,atomic-interactions
920,2022,83,atomic-interactions
921,2023,83,atomic-interactions
922,2024,83,atomic-interactions
923,2025,83,atomic-interactions
924,2013,0,attention-mechanism
925,2016,0,attention-mechanism
926,2017,0,attention-mechanism
927,2018,0,attention-mechanism
928,2019,0,attention-mechanism
929,2020,25,attention-mechanism
930,2021,25,attention-mechanism
931,2022,45,attention-mechanism
932,2023,45,attention-mechanism
933,2024,45,attention-mechanism
934,2025,45,attention-mechanism
935,2013,0,attention-model
936,2016,0,attention-model
937,2017,0,attention-model
938,2018,0,attention-model
939,2019,0,attention-model
940,2020,0,attention-model
941,2021,31,attention-model
942,2022,31,attention-model
943,2023,31,attention-model
944,2024,31,attention-model
945,2025,31,attention-model
946,2013,0,autoencoder
947,2016,0,autoencoder
948,2017,0,autoencoder
949,2018,0,autoencoder
950,2019,0,autoencoder
951,2020,28,autoencoder
952,2021,28,autoencoder
953,2022,28,autoencoder
954,2023,78,autoencoder
955,2024,78,autoencoder
956,2025,78,autoencoder
957,2013,0,autoencoders
958,2016,0,autoencoders
959,2017,0,autoencoders
960,2018,0,autoencoders
961,2019,23,autoencoders
962,2020,23,autoencoders
963,2021,164,autoencoders
964,2022,164,autoencoders
965,2023,164,autoencoders
966,2024,164,autoencoders
967,2025,164,autoencoders
968,2013,0,autoimpute
969,2016,0,autoimpute
970,2017,0,autoimpute
971,2018,0,autoimpute
972,2019,0,autoimpute
973,2020,28,autoimpute
974,2021,28,autoimpute
975,2022,28,autoimpute
976,2023,28,autoimpute
977,2024,28,autoimpute
978,2025,28,autoimpute
979,2013,0,automation
980,2016,0,automation
981,2017,0,automation
982,2018,0,automation
983,2019,0,automation
984,2020,0,automation
985,2021,27,automation
986,2022,27,automation
987,2023,27,automation
988,2024,27,automation
989,2025,27,automation
990,2013,0,automl
991,2016,0,automl
992,2017,0,automl
993,2018,0,automl
994,2019,0,automl
995,2020,0,automl
996,2021,163,automl
997,2022,163,automl
998,2023,163,automl
999,2024,163,automl
1000,2025,163,automl
1001,2013,0,avro
1002,2016,0,avro
1003,2017,0,avro
1004,2018,0,avro
1005,2019,0,avro
1006,2020,0,avro
1007,2021,0,avro
1008,2022,0,avro
1009,2023,0,avro
1010,2024,0,avro
1011,2025,1041,avro
1012,2013,0,avx2
1013,2016,0,avx2
1014,2017,0,avx2
1015,2018,0,avx2
1016,2019,15,avx2
1017,2020,144,avx2
1018,2021,144,avx2
1019,2022,144,avx2
1020,2023,144,avx2
1021,2024,281,avx2
1022,2025,281,avx2
1023,2013,0,avx512
1024,2016,0,avx512
1025,2017,0,avx512
1026,2018,0,avx512
1027,2019,15,avx512
1028,2020,15,avx512
1029,2021,15,avx512
1030,2022,15,avx512
1031,2023,15,avx512
1032,2024,15,avx512
1033,2025,15,avx512
1034,2013,0,awesome
1035,2016,0,awesome
1036,2017,0,awesome
1037,2018,0,awesome
1038,2019,0,awesome
1039,2020,0,awesome
1040,2021,0,awesome
1041,2022,0,awesome
1042,2023,0,awesome
1043,2024,69,awesome
1044,2025,69,awesome
1045,2013,0,awesome-list
1046,2016,0,awesome-list
1047,2017,0,awesome-list
1048,2018,0,awesome-list
1049,2019,0,awesome-list
1050,2020,0,awesome-list
1051,2021,0,awesome-list
1052,2022,0,awesome-list
1053,2023,75,awesome-list
1054,2024,144,awesome-list
1055,2025,144,awesome-list
1056,2013,0,awesome-lists
1057,2016,0,awesome-lists
1058,2017,0,awesome-lists
1059,2018,0,awesome-lists
1060,2019,0,awesome-lists
1061,2020,0,awesome-lists
1062,2021,0,awesome-lists
1063,2022,0,awesome-lists
1064,2023,0,awesome-lists
1065,2024,69,awesome-lists
1066,2025,69,awesome-lists
1067,2013,0,awk
1068,2016,0,awk
1069,2017,0,awk
1070,2018,0,awk
1071,2019,0,awk
1072,2020,0,awk
1073,2021,0,awk
1074,2022,22,awk
1075,2023,22,awk
1076,2024,22,awk
1077,2025,22,awk
1078,2013,0,awk-script
1079,2016,0,awk-script
1080,2017,0,awk-script
1081,2018,0,awk-script
1082,2019,0,awk-script
1083,2020,0,awk-script
1084,2021,0,awk-script
1085,2022,22,awk-script
1086,2023,22,awk-script
1087,2024,22,awk-script
1088,2025,22,awk-script
1089,2013,0,aws
1090,2016,0,aws
1091,2017,0,aws
1092,2018,30,aws
1093,2019,30,aws
1094,2020,30,aws
1095,2021,30,aws
1096,2022,30,aws
1097,2023,305,aws
1098,2024,305,aws
1099,2025,4530,aws
1100,2013,0,azure
1101,2016,0,azure
