year;stars;forks;topic
2023;13;0;alignment-algorithm
2024;144;15;alignment-algorithm
2025;144;0;alignment-algorithm
2013;0;0;alignment-free
2016;0;0;alignment-free
2017;0;0;alignment-free
2018;0;0;alignment-free
2019;0;0;alignment-free
2020;19;1;alignment-free
2021;19;0;alignment-free
2022;19;0;alignment-free
2023;66;14;alignment-free
2024;66;0;alignment-free
2025;66;0;alignment-free
2013;0;0;alignment-path
2016;0;0;alignment-path
2017;0;0;alignment-path
2018;0;0;alignment-path
2019;0;0;alignment-path
2020;0;0;alignment-path
2021;0;0;alignment-path
2022;0;0;alignment-path
2023;0;0;alignment-path
2024;0;0;alignment-path
2025;575;174;alignment-path
2013;0;0;alignments
2016;0;0;alignments
2017;0;0;alignments
2018;0;0;alignments
2019;0;0;alignments
2020;0;0;alignments
2021;0;0;alignments
2022;0;0;alignments
2023;0;0;alignments
2024;0;0;alignments
2025;1131;140;alignments
2013;0;0;alk
2016;0;0;alk
2017;0;0;alk
2018;0;0;alk
2019;0;0;alk
2020;0;0;alk
2021;0;0;alk
2022;131;60;alk
2023;131;0;alk
2024;131;0;alk
2025;131;0;alk
2013;0;0;allele-specific
2016;0;0;allele-specific
2017;0;0;allele-specific
2018;0;0;allele-specific
2019;0;0;allele-specific
2020;0;0;allele-specific
2021;0;0;allele-specific
2022;0;0;allele-specific
2023;61;21;allele-specific
2024;61;0;allele-specific
2025;61;0;allele-specific
2013;0;0;alliance
2016;0;0;alliance
2017;0;0;alliance
2018;99;91;alliance
2019;99;0;alliance
2020;99;0;alliance
2021;99;0;alliance
2022;99;0;alliance
2023;99;0;alliance
2024;99;0;alliance
2025;99;0;alliance
2013;0;0;allmaps
2016;0;0;allmaps
2017;0;0;allmaps
2018;0;0;allmaps
2019;0;0;allmaps
2020;0;0;allmaps
2021;0;0;allmaps
2022;0;0;allmaps
2023;0;0;allmaps
2024;0;0;allmaps
2025;882;197;allmaps
2013;0;0;alphafold
2016;0;0;alphafold
2017;0;0;alphafold
2018;0;0;alphafold
2019;0;0;alphafold
2020;0;0;alphafold
2021;0;0;alphafold
2022;0;0;alphafold
2023;75;11;alphafold
2024;192;26;alphafold
2025;192;0;alphafold
2013;0;0;alphafold2
2016;0;0;alphafold2
2017;0;0;alphafold2
2018;0;0;alphafold2
2019;0;0;alphafold2
2020;0;0;alphafold2
2021;0;0;alphafold2
2022;0;0;alphafold2
2023;0;0;alphafold2
2024;284;44;alphafold2
2025;284;0;alphafold2
2013;0;0;alphapept-ecosystem
2016;0;0;alphapept-ecosystem
2017;0;0;alphapept-ecosystem
2018;0;0;alphapept-ecosystem
2019;0;0;alphapept-ecosystem
2020;0;0;alphapept-ecosystem
2021;0;0;alphapept-ecosystem
2022;0;0;alphapept-ecosystem
2023;0;0;alphapept-ecosystem
2024;184;34;alphapept-ecosystem
2025;184;0;alphapept-ecosystem
2013;0;0;alu
2016;0;0;alu
2017;0;0;alu
2018;0;0;alu
2019;0;0;alu
2020;0;0;alu
2021;19;1;alu
2022;19;0;alu
2023;19;0;alu
2024;19;0;alu
2025;19;0;alu
2013;0;0;amino-acid-composition
2016;0;0;amino-acid-composition
2017;0;0;amino-acid-composition
2018;0;0;amino-acid-composition
2019;0;0;amino-acid-composition
2020;0;0;amino-acid-composition
2021;0;0;amino-acid-composition
2022;0;0;amino-acid-composition
2023;0;0;amino-acid-composition
2024;65;22;amino-acid-composition
2025;65;0;amino-acid-composition
2013;0;0;amplicon
2016;0;0;amplicon
2017;21;6;amplicon
2018;21;0;amplicon
2019;21;0;amplicon
2020;40;9;amplicon
2021;40;0;amplicon
2022;40;0;amplicon
2023;40;0;amplicon
2024;40;0;amplicon
2025;1300;293;amplicon
2013;0;0;amplicon-sequencing
2016;0;0;amplicon-sequencing
2017;0;0;amplicon-sequencing
2018;0;0;amplicon-sequencing
2019;0;0;amplicon-sequencing
2020;0;0;amplicon-sequencing
2021;0;0;amplicon-sequencing
2022;0;0;amplicon-sequencing
2023;0;0;amplicon-sequencing
2024;122;39;amplicon-sequencing
2025;122;0;amplicon-sequencing
2013;0;0;amr
2016;0;0;amr
2017;0;0;amr
2018;0;0;amr
2019;0;0;amr
2020;0;0;amr
2021;0;0;amr
2022;0;0;amr
2023;75;19;amr
2024;75;0;amr
2025;75;0;amr
2013;0;0;analyses
2016;0;0;analyses
2017;0;0;analyses
2018;0;0;analyses
2019;0;0;analyses
2020;0;0;analyses
2021;0;0;analyses
2022;0;0;analyses
2023;51;13;analyses
2024;51;0;analyses
2025;51;0;analyses
2013;0;0;analysis
2016;0;0;analysis
2017;24;6;analysis
2018;37;0;analysis
2019;74;22;analysis
2020;74;0;analysis
2021;74;0;analysis
2022;74;0;analysis
2023;239;34;analysis
2024;416;66;analysis
2025;1815;645;analysis
2013;0;0;analytical-chemistry
2016;0;0;analytical-chemistry
2017;0;0;analytical-chemistry
2018;0;0;analytical-chemistry
2019;0;0;analytical-chemistry
2020;0;0;analytical-chemistry
2021;53;22;analytical-chemistry
2022;53;0;analytical-chemistry
2023;53;0;analytical-chemistry
2024;53;0;analytical-chemistry
2025;53;0;analytical-chemistry
2013;0;0;analytics
2016;0;0;analytics
2017;0;0;analytics
2018;0;0;analytics
2019;0;0;analytics
2020;0;0;analytics
2021;0;0;analytics
2022;37;6;analytics
2023;37;0;analytics
2024;37;0;analytics
2025;37;0;analytics
2013;0;0;animal-movement
2016;0;0;animal-movement
2017;0;0;animal-movement
2018;0;0;animal-movement
2019;0;0;animal-movement
2020;110;20;animal-movement
2021;110;0;animal-movement
2022;110;0;animal-movement
2023;110;0;animal-movement
2024;110;0;animal-movement
2025;110;0;animal-movement
2013;0;0;animal-science
2016;0;0;animal-science
2017;0;0;animal-science
2018;0;0;animal-science
2019;0;0;animal-science
2020;110;20;animal-science
2021;110;0;animal-science
2022;110;0;animal-science
2023;110;0;animal-science
2024;110;0;animal-science
2025;110;0;animal-science
2013;0;0;animal-tracking
2016;0;0;animal-tracking
2017;0;0;animal-tracking
2018;0;0;animal-tracking
2019;0;0;animal-tracking
2020;110;20;animal-tracking
2021;110;0;animal-tracking
2022;110;0;animal-tracking
2023;110;0;animal-tracking
2024;110;0;animal-tracking
2025;110;0;animal-tracking
2013;0;0;animation-library
2016;0;0;animation-library
2017;0;0;animation-library
2018;0;0;animation-library
2019;20;5;animation-library
2020;20;0;animation-library
2021;20;0;animation-library
2022;20;0;animation-library
2023;20;0;animation-library
2024;20;0;animation-library
2025;20;0;animation-library
2013;0;0;anm
2016;0;0;anm
2017;0;0;anm
2018;0;0;anm
2019;0;0;anm
2020;24;9;anm
2021;24;0;anm
2022;24;0;anm
2023;24;0;anm
2024;24;0;anm
2025;24;0;anm
2013;0;0;anndata
2016;0;0;anndata
2017;0;0;anndata
2018;0;0;anndata
2019;0;0;anndata
2020;0;0;anndata
2021;0;0;anndata
2022;0;0;anndata
2023;0;0;anndata
2024;0;0;anndata
2025;3005;866;anndata
2013;0;0;annotated-corpora
2016;0;0;annotated-corpora
2017;0;0;annotated-corpora
2018;0;0;annotated-corpora
2019;0;0;annotated-corpora
2020;0;0;annotated-corpora
2021;0;0;annotated-corpora
2022;106;29;annotated-corpora
2023;106;0;annotated-corpora
2024;106;0;annotated-corpora
2025;106;0;annotated-corpora
2013;0;0;annotation
2016;0;0;annotation
2017;0;0;annotation
2018;0;0;annotation
2019;48;36;annotation
2020;48;0;annotation
2021;69;18;annotation
2022;69;0;annotation
2023;237;47;annotation
2024;237;0;annotation
2025;1742;627;annotation
2013;0;0;annotation-enrichment
2016;0;0;annotation-enrichment
2017;0;0;annotation-enrichment
2018;0;0;annotation-enrichment
2019;0;0;annotation-enrichment
2020;88;23;annotation-enrichment
2021;88;0;annotation-enrichment
2022;88;0;annotation-enrichment
2023;88;0;annotation-enrichment
2024;88;0;annotation-enrichment
2025;88;0;annotation-enrichment
2013;0;0;annotation-pipeline
2016;0;0;annotation-pipeline
2017;0;0;annotation-pipeline
2018;0;0;annotation-pipeline
2019;0;0;annotation-pipeline
2020;0;0;annotation-pipeline
2021;0;0;annotation-pipeline
2022;0;0;annotation-pipeline
2023;59;11;annotation-pipeline
2024;59;0;annotation-pipeline
2025;59;0;annotation-pipeline
2013;0;0;annotation-tool
2016;0;0;annotation-tool
2017;0;0;annotation-tool
2018;0;0;annotation-tool
2019;0;0;annotation-tool
2020;0;0;annotation-tool
2021;0;0;annotation-tool
2022;0;0;annotation-tool
2023;0;0;annotation-tool
2024;0;0;annotation-tool
2025;393;58;annotation-tool
2013;0;0;annotations
2016;0;0;annotations
2017;0;0;annotations
2018;0;0;annotations
2019;0;0;annotations
2020;0;0;annotations
2021;0;0;annotations
2022;99;37;annotations
2023;227;26;annotations
2024;227;0;annotations
2025;227;0;annotations
2013;0;0;antibody
2016;0;0;antibody
2017;0;0;antibody
2018;0;0;antibody
2019;0;0;antibody
2020;25;3;antibody
2021;25;0;antibody
2022;25;0;antibody
2023;25;0;antibody
2024;167;42;antibody
2025;167;0;antibody
2013;0;0;antibody-numbering
2016;0;0;antibody-numbering
2017;0;0;antibody-numbering
2018;0;0;antibody-numbering
2019;0;0;antibody-numbering
2020;25;3;antibody-numbering
2021;25;0;antibody-numbering
2022;25;0;antibody-numbering
2023;25;0;antibody-numbering
2024;25;0;antibody-numbering
2025;25;0;antibody-numbering
2013;0;0;antibody-sequences
2016;0;0;antibody-sequences
2017;0;0;antibody-sequences
2018;0;0;antibody-sequences
2019;0;0;antibody-sequences
2020;25;3;antibody-sequences
2021;25;0;antibody-sequences
2022;25;0;antibody-sequences
2023;25;0;antibody-sequences
2024;25;0;antibody-sequences
2025;25;0;antibody-sequences
2013;0;0;anticancer-peptides
2016;0;0;anticancer-peptides
2017;0;0;anticancer-peptides
2018;0;0;anticancer-peptides
2019;24;13;anticancer-peptides
2020;24;0;anticancer-peptides
2021;24;0;anticancer-peptides
2022;24;0;anticancer-peptides
2023;24;0;anticancer-peptides
2024;24;0;anticancer-peptides
2025;24;0;anticancer-peptides
2013;0;0;antigen
2016;0;0;antigen
2017;0;0;antigen
2018;39;7;antigen
2019;39;0;antigen
2020;39;0;antigen
2021;39;0;antigen
2022;39;0;antigen
2023;39;0;antigen
2024;39;0;antigen
2025;39;0;antigen
2013;0;0;anvio
2016;0;0;anvio
2017;0;0;anvio
2018;0;0;anvio
2019;0;0;anvio
2020;0;0;anvio
2021;0;0;anvio
2022;0;0;anvio
2023;0;0;anvio
2024;0;0;anvio
2025;490;151;anvio
2013;0;0;api
2016;0;0;api
2017;0;0;api
2018;0;0;api
2019;0;0;api
2020;0;0;api
2021;28;6;api
2022;94;25;api
2023;94;0;api
2024;210;35;api
2025;210;0;api
2013;0;0;api-client
2016;0;0;api-client
2017;0;0;api-client
2018;0;0;api-client
2019;67;18;api-client
2020;67;0;api-client
2021;67;0;api-client
2022;103;14;api-client
2023;103;0;api-client
2024;103;0;api-client
2025;103;0;api-client
2013;0;0;application
2016;0;0;application
2017;0;0;application
2018;0;0;application
2019;0;0;application
2020;0;0;application
2021;0;0;application
2022;0;0;application
2023;0;0;application
2024;0;0;application
2025;1044;377;application
2013;0;0;applied-bioinformatics-lab
2016;0;0;applied-bioinformatics-lab
2017;0;0;applied-bioinformatics-lab
2018;0;0;applied-bioinformatics-lab
2019;0;0;applied-bioinformatics-lab
2020;45;8;applied-bioinformatics-lab
2021;45;0;applied-bioinformatics-lab
2022;45;0;applied-bioinformatics-lab
2023;45;0;applied-bioinformatics-lab
2024;45;0;applied-bioinformatics-lab
2025;45;0;applied-bioinformatics-lab
2013;0;0;approximate-string-matching
2016;0;0;approximate-string-matching
2017;0;0;approximate-string-matching
2018;0;0;approximate-string-matching
2019;0;0;approximate-string-matching
2020;0;0;approximate-string-matching
2021;58;20;approximate-string-matching
2022;58;0;approximate-string-matching
2023;58;0;approximate-string-matching
2024;58;0;approximate-string-matching
2025;58;0;approximate-string-matching
2013;0;0;archaea
2016;0;0;archaea
2017;0;0;archaea
2018;0;0;archaea
2019;0;0;archaea
2020;63;15;archaea
2021;63;0;archaea
2022;63;0;archaea
2023;63;0;archaea
2024;63;0;archaea
2025;623;94;archaea
2013;0;0;archived
2016;0;0;archived
2017;0;0;archived
2018;0;0;archived
2019;0;0;archived
2020;0;0;archived
2021;34;7;archived
2022;34;0;archived
2023;34;0;archived
2024;34;0;archived
2025;34;0;archived
2013;0;0;aromatherapy
2016;0;0;aromatherapy
2017;0;0;aromatherapy
2018;0;0;aromatherapy
2019;0;0;aromatherapy
2020;0;0;aromatherapy
2021;0;0;aromatherapy
2022;0;0;aromatherapy
2023;128;18;aromatherapy
2024;128;0;aromatherapy
2025;128;0;aromatherapy
2013;0;0;arrayfire
2016;0;0;arrayfire
2017;0;0;arrayfire
2018;15;6;arrayfire
2019;15;0;arrayfire
2020;15;0;arrayfire
2021;15;0;arrayfire
2022;15;0;arrayfire
2023;15;0;arrayfire
2024;15;0;arrayfire
2025;15;0;arrayfire
2013;0;0;artificial-intelligence
2016;0;0;artificial-intelligence
2017;19;3;artificial-intelligence
2018;19;0;artificial-intelligence
2019;145;16;artificial-intelligence
2020;185;5;artificial-intelligence
2021;212;1;artificial-intelligence
2022;212;0;artificial-intelligence
2023;450;43;artificial-intelligence
2024;450;0;artificial-intelligence
2025;2264;254;artificial-intelligence
2013;0;0;arvados
2016;0;0;arvados
2017;0;0;arvados
2018;0;0;arvados
2019;0;0;arvados
2020;0;0;arvados
2021;0;0;arvados
2022;0;0;arvados
2023;0;0;arvados
2024;0;0;arvados
2025;415;125;arvados
2013;0;0;ascii
2016;0;0;ascii
2017;0;0;ascii
2018;0;0;ascii
2019;20;5;ascii
2020;20;0;ascii
2021;20;0;ascii
2022;20;0;ascii
2023;20;0;ascii
2024;20;0;ascii
2025;20;0;ascii
2013;0;0;ascii-art
2016;0;0;ascii-art
2017;0;0;ascii-art
2018;0;0;ascii-art
2019;20;5;ascii-art
2020;20;0;ascii-art
2021;20;0;ascii-art
2022;20;0;ascii-art
2023;20;0;ascii-art
2024;20;0;ascii-art
2025;20;0;ascii-art
2013;0;0;assembler
2016;0;0;assembler
2017;0;0;assembler
2018;0;0;assembler
2019;0;0;assembler
2020;0;0;assembler
2021;0;0;assembler
2022;0;0;assembler
2023;36;15;assembler
2024;131;16;assembler
2025;131;0;assembler
2013;0;0;assembly
2016;0;0;assembly
2017;0;0;assembly
2018;0;0;assembly
2019;0;0;assembly
2020;0;0;assembly
2021;20;8;assembly
2022;41;2;assembly
2023;175;30;assembly
2024;586;63;assembly
2025;1468;197;assembly
2013;0;0;assembly-graphs
2016;0;0;assembly-graphs
2017;0;0;assembly-graphs
2018;0;0;assembly-graphs
2019;0;0;assembly-graphs
2020;55;2;assembly-graphs
2021;55;0;assembly-graphs
2022;55;0;assembly-graphs
2023;55;0;assembly-graphs
2024;55;0;assembly-graphs
2025;55;0;assembly-graphs
2013;0;0;asset-management
2016;0;0;asset-management
2017;0;0;asset-management
2018;0;0;asset-management
2019;0;0;asset-management
2020;0;0;asset-management
2021;103;22;asset-management
2022;103;0;asset-management
2023;103;0;asset-management
2024;103;0;asset-management
2025;103;0;asset-management
2013;0;0;async-programming
2016;0;0;async-programming
2017;0;0;async-programming
2018;0;0;async-programming
2019;20;5;async-programming
2020;20;0;async-programming
2021;20;0;async-programming
2022;20;0;async-programming
2023;20;0;async-programming
2024;20;0;async-programming
2025;20;0;async-programming
2013;0;0;atac
2016;0;0;atac
2017;0;0;atac
2018;0;0;atac
2019;0;0;atac
2020;0;0;atac
2021;0;0;atac
2022;0;0;atac
2023;0;0;atac
2024;0;0;atac
2025;398;102;atac
2013;0;0;atac-seq
2016;0;0;atac-seq
2017;0;0;atac-seq
2018;13;0;atac-seq
2019;13;0;atac-seq
2020;145;34;atac-seq
2021;145;0;atac-seq
2022;167;11;atac-seq
2023;167;0;atac-seq
2024;351;39;atac-seq
2025;351;0;atac-seq
2013;0;0;atomic-interactions
2016;0;0;atomic-interactions
2017;0;0;atomic-interactions
2018;0;0;atomic-interactions
2019;0;0;atomic-interactions
2020;0;0;atomic-interactions
2021;0;0;atomic-interactions
2022;83;25;atomic-interactions
2023;83;0;atomic-interactions
2024;83;0;atomic-interactions
2025;83;0;atomic-interactions
2013;0;0;attention-mechanism
2016;0;0;attention-mechanism
2017;0;0;attention-mechanism
2018;0;0;attention-mechanism
2019;0;0;attention-mechanism
2020;25;9;attention-mechanism
2021;25;0;attention-mechanism
2022;45;5;attention-mechanism
2023;45;0;attention-mechanism
2024;45;0;attention-mechanism
2025;45;0;attention-mechanism
2013;0;0;attention-model
2016;0;0;attention-model
2017;0;0;attention-model
2018;0;0;attention-model
2019;0;0;attention-model
2020;0;0;attention-model
2021;32;14;attention-model
2022;32;0;attention-model
2023;32;0;attention-model
2024;32;0;attention-model
2025;32;0;attention-model
2013;0;0;autoencoder
2016;0;0;autoencoder
2017;0;0;autoencoder
2018;0;0;autoencoder
2019;0;0;autoencoder
2020;28;9;autoencoder
2021;28;0;autoencoder
2022;28;0;autoencoder
2023;78;21;autoencoder
2024;78;0;autoencoder
2025;78;0;autoencoder
2013;0;0;autoencoders
2016;0;0;autoencoders
2017;0;0;autoencoders
2018;0;0;autoencoders
2019;23;13;autoencoders
2020;23;0;autoencoders
2021;164;34;autoencoders
2022;164;0;autoencoders
2023;164;0;autoencoders
2024;164;0;autoencoders
2025;164;0;autoencoders
2013;0;0;autoimpute
2016;0;0;autoimpute
2017;0;0;autoimpute
2018;0;0;autoimpute
2019;0;0;autoimpute
2020;28;9;autoimpute
2021;28;0;autoimpute
2022;28;0;autoimpute
2023;28;0;autoimpute
2024;28;0;autoimpute
2025;28;0;autoimpute
2013;0;0;automation
2016;0;0;automation
2017;0;0;automation
2018;0;0;automation
2019;0;0;automation
2020;0;0;automation
2021;27;1;automation
2022;27;0;automation
2023;27;0;automation
2024;27;0;automation
2025;27;0;automation
2013;0;0;automl
2016;0;0;automl
2017;0;0;automl
2018;0;0;automl
2019;0;0;automl
2020;0;0;automl
2021;163;28;automl
2022;163;0;automl
2023;163;0;automl
2024;163;0;automl
2025;163;0;automl
2013;0;0;avro
2016;0;0;avro
2017;0;0;avro
2018;0;0;avro
2019;0;0;avro
2020;0;0;avro
2021;0;0;avro
2022;0;0;avro
2023;0;0;avro
2024;0;0;avro
2025;1043;315;avro
2013;0;0;avx2
2016;0;0;avx2
2017;0;0;avx2
2018;0;0;avx2
2019;15;3;avx2
2020;144;4;avx2
2021;144;0;avx2
2022;144;0;avx2
2023;144;0;avx2
2024;281;9;avx2
2025;281;0;avx2
2013;0;0;avx512
2016;0;0;avx512
2017;0;0;avx512
2018;0;0;avx512
2019;15;3;avx512
2020;15;0;avx512
2021;15;0;avx512
2022;15;0;avx512
2023;15;0;avx512
2024;15;0;avx512
2025;15;0;avx512
2013;0;0;awesome
2016;0;0;awesome
2017;0;0;awesome
2018;0;0;awesome
2019;0;0;awesome
2020;0;0;awesome
2021;0;0;awesome
2022;0;0;awesome
2023;0;0;awesome
2024;70;3;awesome
2025;70;0;awesome
2013;0;0;awesome-list
2016;0;0;awesome-list
2017;0;0;awesome-list
2018;0;0;awesome-list
2019;0;0;awesome-list
2020;0;0;awesome-list
2021;0;0;awesome-list
2022;0;0;awesome-list
2023;75;11;awesome-list
2024;145;3;awesome-list
2025;145;0;awesome-list
2013;0;0;awesome-lists
2016;0;0;awesome-lists
2017;0;0;awesome-lists
2018;0;0;awesome-lists
2019;0;0;awesome-lists
2020;0;0;awesome-lists
2021;0;0;awesome-lists
2022;0;0;awesome-lists
2023;0;0;awesome-lists
2024;70;3;awesome-lists
2025;70;0;awesome-lists
2013;0;0;awk
2016;0;0;awk
2017;0;0;awk
2018;0;0;awk
2019;0;0;awk
2020;0;0;awk
2021;0;0;awk
2022;22;6;awk
2023;22;0;awk
2024;22;0;awk
2025;22;0;awk
2013;0;0;awk-script
2016;0;0;awk-script
2017;0;0;awk-script
2018;0;0;awk-script
2019;0;0;awk-script
2020;0;0;awk-script
2021;0;0;awk-script
2022;22;6;awk-script
2023;22;0;awk-script
2024;22;0;awk-script
2025;22;0;awk-script
2013;0;0;aws
2016;0;0;aws
2017;0;0;aws
2018;30;5;aws
2019;30;0;aws
