name;stars;created;forks;topics;language;selected_year
gabyx/WormAnalysis;41;2017-12-01;4;['bioinformatics', 'engineering', 'ipython', 'mechanical', 'python', 'worms'];Jupyter Notebook;2017
best-practices-in-bioinformatics/basic;40;2017-07-11;13;['bioinformatics', 'ngs', 'sequencing'];HTML;2017
slowkow/picardmetrics;40;2015-03-16;7;['bam-files', 'bioinformatics', 'picard', 'quality-control', 'rna-seq'];Shell;2017
OpenGene/ctdna-pipeline;37;2017-07-05;16;['bioinformatics', 'ctdna', 'liquid-biopsy', 'ngs', 'pipeline'];Shell;2017
raymonwu/Managing_Your_Biological_Data_with_Python_3;33;2017-08-19;18;['bioinformatics', 'biological-data', 'python'];Jupyter Notebook;2017
labsquare/CuteVCF;32;2016-12-14;5;['bioinformatics', 'genomics', 'gui', 'qt5', 'variants', 'vcf'];C++;2017
jimmyyhwu/deepsea;30;2017-04-14;16;['bioinformatics', 'computational-biology', 'deep-learning', 'deepsea', 'tensorflow'];Jupyter Notebook;2017
Oshlack/splatter-paper;29;2017-04-16;11;['bioinformatics', 'paper', 'r', 'rna-seq', 'science', 'simulation', 'single-cell', 'single-cell-rna-seq'];R;2017
OpenGene/FusionDirect.jl;25;2015-12-27;16;['bioinformatics', 'cancer', 'fusion', 'gene', 'ngs'];Julia;2017
OpenGene/SeqMaker.jl;24;2016-01-14;8;['bioinformatics', 'illumina', 'ngs', 'simulation'];Julia;2017
burkesquires/immunology-informatics;24;2017-07-03;6;['analysis', 'bioinformatics', 'command-line', 'data-analysis', 'flow-cytometry', 'immunology', 'reproducible-research', 'rna-seq', 'tutorial'];R;2017
olgabot/cshl-singlecell-2017;23;2017-06-19;17;['bioinformatics', 'jupyter-notebook', 'machinelearning', 'matplotlib', 'pca', 'python', 'scikit-learn', 'seaborn', 'single-cell', 'singlecell', 'tsne'];Jupyter Notebook;2017
cvdlab/nn-segmentation-for-lar;21;2017-06-27;15;['bioinformatics', 'convolutional-neural-networks', 'keras', 'mit-license', 'mri', 'neural-networks', 'python'];Python;2017
mikessh/mageri;21;2014-11-19;6;['amplicon', 'bioinformatics', 'cancer', 'ctdna', 'exon', 'mapping', 'mutation', 'umi', 'variant'];Java;2017
mblmicdiv/course2017;21;2017-07-31;9;['bioinformatics', 'diversity', 'metagenomics', 'microbial'];Standard ML;2017
Bohdan-Khomtchouk/biosemble;19;2017-10-06;3;['artificial-intelligence', 'bioinformatics', 'bionlp', 'computational-biology', 'cython', 'machine-learning', 'nlp', 'python', 'wordnet'];Python;2017
prashnts/metaRNA;18;2016-02-22;2;['bioinformatics', 'genomics', 'python', 'rna', 'vienna'];C;2017
arshajii/lava;17;2015-10-28;0;['bioinformatics'];C;2017
anilchalisey/parseR;17;2017-06-20;4;['bioinformatics', 'pipeline', 'r', 'rna-seq'];R;2017
luntergroup/bamsplit;16;2017-12-09;1;['bam-files', 'bioinformatics', 'haplotypes', 'variants'];Python;2017
pfnet-research/BMI219-2017-ProteinFolding;16;2017-04-29;9;['bioinformatics', 'chainer', 'deep-learning'];Python;2017
ababaian/bioSyntax-archive;16;2017-01-26;2;['bam', 'bioinformatics', 'computational-biology', 'fasta', 'gedit', 'less', 'pdb', 'sam', 'sublime', 'syntax-highlighting', 'vcf', 'vim'];Vim script;2017
ujenjt/miprimer;15;2017-01-19;2;['bioinformatics', 'primer-design', 'webapp'];CSS;2017
hng/BiomolecularStructures.jl;12;2014-12-13;6;['bioinformatics', 'blast', 'julia', 'mafft', 'pdb'];Julia;2017
evocellnet/ksea;12;2015-06-16;1;['bioinformatics', 'kinase-activity-predictions', 'proteomics'];R;2017
dib-lab/rcgrep;12;2017-03-01;3;['bioinformatics', 'dna', 'genomics', 'search'];Python;2017
widdowquinn/Teaching-IBioIC-Intro-to-Bioinformatics;12;2017-02-05;7;['bioinformatics', 'bioinformatics-course', 'blast', 'jupyter-notebook', 'mybinder', 'python', 'structural-biology', 'teaching', 'teaching-materials', 'uniprot'];HTML;2017
Kyubyong/neurobind;12;2017-06-27;3;['binding', 'bioinformatics', 'motif-discovery'];Python;2017
OpenGene/dedup;11;2017-07-05;4;['bioinformatics', 'ctdna', 'deduplication', 'liquid', 'ngs'];Python;2017
CompOmics/spectrum_similarity;11;2015-08-12;7;['bioinformatics', 'proteomics', 'scoring-functions', 'spectrum-similarity'];Java;2017
kristiyanto/GUIdock;11;2015-09-09;8;['bioconductor', 'bioinformatics', 'bioinformatics-pipeline', 'cytoscape', 'docker'];Shell;2017
ucdavis-bioinformatics-training/2017-June-RNA-Seq-Workshop;11;2017-06-10;9;['bioinformatics', 'rna-seq', 'workshop-materials'];HTML;2017
mdshw5/strandex;11;2015-05-15;1;['bioinformatics', 'fastq', 'regex'];Python;2017
pasted/clinical_variant_database;10;2013-08-14;2;['bioinformatics', 'biomart', 'database', 'gene-annotations', 'rails-application', 'sidekiq'];Ruby;2017
philippmuench/Donut;10;2017-03-16;2;['bioinformatics', 'circos', 'comparative-genomics', 'docker-image', 'fasta', 'genome-annotation'];Shell;2017
i-shah/ml-organ-tox;10;2016-09-23;10;['bioinformatics', 'cheminformatics', 'machine-learning', 'mongodb', 'toxicology'];Jupyter Notebook;2017
bionode/bionode-seq;10;2014-09-02;3;['bioinformatics', 'bionode', 'nodejs', 'sequences', 'tool'];JavaScript;2017
matheuscburger/Excavator2;10;2017-06-28;0;['bioinformatics', 'cnv', 'exome-sequencing'];R;2017
biomadeira/BioDownloader;10;2017-06-23;0;['bioinformatics', 'cath', 'cli', 'fasta', 'gff', 'mmcif', 'pdb', 'pfam', 'sifts'];Python;2017
dotnetbio/bio;155;2015-07-31;49;['bio', 'bioinformatics', 'dotnet', 'genomics'];C#;2018
ga4gh/ga4gh-server;99;2014-08-12;91;['alliance', 'bioinformatics', 'ga4gh', 'genome-annotation', 'genomics', 'global', 'health', 'python', 'reference-implementation', 'rna', 'server', 'variants'];Python;2018
xuwd11/Coursera-Bioinformatics;96;2018-04-05;46;['bioinformatics', 'coursera', 'python'];Python;2018
jisungk/RIDDLE;90;2017-01-09;16;['bioinformatics', 'biology', 'computational-biology', 'deep-learning', 'epidemiology', 'imputation', 'machine-learning', 'neural-networks'];Python;2018
slowkow/tftargets;86;2015-03-02;19;['bioinformatics', 'data', 'rstats', 'transcription-factors'];R;2018
dalmia/Coursera-Specializations;80;2016-09-29;48;['algorithms', 'bioinformatics', 'coursera', 'data-structures', 'deep-learning', 'image-processing', 'machine-learning', 'python'];Jupyter Notebook;2018
OpenGene/CfdnaPattern;59;2016-07-28;21;['bioinformatics', 'cfdna', 'ngs', 'pattern'];Python;2018
cjfields/bioperl6;48;2009-02-11;13;['bio', 'bioinformatics', 'bioperl', 'perl6', 'raku', 'rakudo'];Perl 6;2018
antigenomics/vdjmatch;39;2014-11-16;7;['antigen', 'bioinformatics', 'rep-seq', 't-cell', 'vdjdb'];Groovy;2018
bionode/bionode-watermill;37;2016-06-20;6;['bioinformatics', 'bionode', 'nodejs', 'pipeline', 'tool'];JavaScript;2018
ucdavis-bioinformatics-training/2017_2018-single-cell-RNA-sequencing-Workshop-UCD_UCB_UCSF;36;2017-12-17;13;['bioinformatics', 'scrna', 'workshop-materials'];HTML;2018
nextflow-io/nf-hack17-tutorial;33;2017-08-11;18;['bioinformatics', 'docker', 'genomics', 'nextflow', 'singularity', 'tutorial'];Nextflow;2018
IbrahimTanyalcin/LEXICON;33;2017-04-25;4;['bioinformatics', 'biology', 'chart', 'chart-component', 'charting-library', 'component', 'computational-biology', 'd3', 'd3-lexicon', 'dashboard', 'es5', 'interactive', 'javascript', 'lexicon', 'visualization'];JavaScript;2018
bioconnector/workshops;32;2016-07-07;40;['bioinformatics', 'tutorial', 'workshops'];R;2018
BioJulia/BioCore.jl;32;2017-03-18;11;['bioinformatics', 'biology', 'io'];Julia;2018
epigen/crop-seq;32;2016-06-07;13;['bioinformatics', 'crispr', 'crispr-analysis', 'single-cell'];Python;2018
Bohdan-Khomtchouk/fastheatmap;31;2016-11-23;6;['bioinformatics', 'computational-biology', 'high-performance-computing', 'interactive-biological-heatmaps', 'javascript', 'plotly'];JavaScript;2018
biocore-ntnu/epic;31;2016-04-01;6;['bioinformatics', 'chip-seq', 'chip-seq-callers', 'peak-caller', 'sicer', 'sicer-algorithm'];Python;2018
slowkow/proxysnps;30;2015-12-15;9;['bioinformatics', 'linkage-disequilibrium', 'rstats', 'snps', 'statistics'];R;2018
otiai10/hotsub;30;2017-12-08;5;['aws', 'batch-job', 'bioinformatics', 'cwl', 'cwl-workflow', 'docker', 'docker-machine', 'etl-framework', 'gcp', 'wdl', 'wdl-workflow', 'workflow', 'workflow-engine'];Go;2018
wtsi-hpag/scanPAV;29;2017-11-20;7;['bioinformatics', 'bioinformatics-pipeline', 'fasta', 'genome-alignment', 'genome-mapping', 'genomes-comparison', 'genomics', 'pav-sequences', 'pipeline', 'smalt', 'structurevariation'];C;2018
SeqWare/seqware;29;2012-05-11;17;['bioinformatics', 'java', 'ngs'];Java;2018
sanger-pathogens/gff3toembl;29;2014-10-01;12;['bioinformatics', 'bioinformatics-pipeline', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing'];Python;2018
cbg-ethz/haploclique;26;2013-10-13;31;['bioinformatics', 'c-plus-plus', 'haplotypes', 'quasispecies'];C++;2018
slowkow/CENTIPEDE.tutorial;26;2015-07-03;13;['bioinformatics', 'dnase-seq', 'enrichment', 'rstats', 'transcription-factors', 'tutorial'];R;2018
kundajelab/genomedisco;26;2017-02-05;10;['3c', '3d-genome', 'bioinformatics', 'bioinformatics-pipeline', 'capture-c', 'contact-matrix', 'hi-c', 'hic'];Jupyter Notebook;2018
CommonGarden/Grow-IoT;24;2015-10-11;6;['bioinformatics', 'embedded-systems', 'iot', 'iot-framework', 'meteor', 'nodejs', 'openscience', 'react', 'webcomponents'];JavaScript;2018
mojaie/pygosemsim;24;2018-09-18;5;['bioinformatics', 'gene-ontology', 'semantic-similarity'];Python;2018
rasbt/screenlamp;24;2017-04-06;10;['bioinformatics', 'computational-biology', 'computational-chemistry', 'docking', 'drug-discovery', 'ligand-screening', 'pharmacometrics', 'python', 'virtual-screening'];Python;2018
BarathiGanesh-HB/DeepChem-Workshop;23;2017-12-22;10;['bioinformatics', 'computational-biology', 'computational-chemistry', 'deep-learning', 'machine-learning', 'natural-language-processing', 'natural-language-understanding'];Jupyter Notebook;2018
rhshah/iCallSV;22;2015-07-29;10;['bioinformatics', 'genomics', 'next-generation-sequencing', 'python', 'structural-variation'];Python;2018
mjendrusch/nimna;21;2017-01-11;0;['bindings', 'bioinformatics', 'nim', 'rna-design', 'rna-structure-prediction'];Nim;2018
google/fast-simple-lcsk;21;2018-02-27;8;['algorithm', 'bioinformatics', 'bioinformatics-algorithms', 'dynamic-programming', 'genome-alignment', 'lcs', 'lcsk', 'lcskp', 'lcskpp', 'string', 'string-matching', 'strings'];C++;2018
widdowquinn/2018-03-06-ibioic;20;2018-02-20;11;['bioinformatics', 'biopython', 'blast', 'jupyter-notebook', 'python', 'teaching', 'teaching-materials', 'uniprot'];HTML;2018
nf-core/cookiecutter;19;2017-12-20;8;['bioinformatics', 'bioinformatics-pipeline', 'cookiecutter', 'cookiecutter-template', 'nextflow', 'pipeline', 'template', 'workflow'];Nextflow;2018
leonjessen/PepTools;19;2017-11-16;10;['bioinformatics', 'datascience', 'encoding-peptides', 'epitope-prediction-methods', 'immunoinformatics', 'immunological-bioinformatics', 'peptide-data', 'peptides', 'r', 'research', 'rstats', 'vaccine'];R;2018
mbhall88/taeper;19;2017-05-15;0;['bioinformatics', 'nanopore', 'python', 'simulation'];Python;2018
AnthonyMRios/adversarial-relation-classification;18;2017-11-21;9;['bioinformatics', 'biomedical-data-science', 'machine-learning', 'natural-language-processing', 'nlp', 'nlp-machine-learning', 'relation-extraction'];Python;2018
rpeckner-broad/Specter;18;2017-05-11;12;['bioinformatics', 'computational-biology', 'linear-regression', 'mass-spectrometry', 'proteomics'];Python;2018
nicolebrimmer/senior-thesis;18;2018-01-19;8;['bioinformatics', 'deep-learning', 'lstm', 'machine-learning'];Python;2018
slowkow/homerkit;17;2016-11-17;3;['bioinformatics', 'enrichment', 'rstats', 'transcription-factors'];R;2018
KCCG/seave;16;2018-01-14;3;['bedtools', 'bioinformatics', 'clinical', 'gemini', 'genetics', 'genomics', 'html', 'php', 'research', 'sequencing', 'web', 'wgs'];HTML;2018
weng-lab/umitools;16;2016-02-16;4;['bioinformatics', 'high-throughput-sequencing', 'rna-seq', 'small-rna', 'umi', 'unique-molecular-identifier'];Python;2018
jia-zhuang/mapper;16;2018-10-08;4;['bioinformatics', 'cnv', 'genomics', 'nipt', 'sequence-alignment'];C;2018
genetics-statistics/faster_lmm_d;15;2016-11-30;6;['arrayfire', 'bioinformatics', 'dlang', 'genomics', 'gpu', 'gwas', 'gwas-tools', 'opencl'];D;2018
krejciadam/hammock;13;2015-01-28;3;['bioinformatics', 'clustering', 'java', 'multiple-sequence-alignment', 'phage-display', 'sequence-clustering'];Java;2018
kn-bioinf/dotplot;13;2016-04-25;2;['bioinformatics', 'dotplot', 'gene-similarity', 'protein-sequence', 'visualisation'];Python;2018
robsyme/nf-repeatmasking;13;2017-08-09;7;['bioinformatics', 'genomics', 'nextflow', 'transposable-elements'];Perl;2018
sbg/Mitty;13;2016-08-10;2;['bioinformatics', 'genomics', 'simulator'];Python;2018
mmtechslv/nwunch;13;2018-07-10;5;['alignment', 'alignment-algorithm', 'bioinformatics', 'demo', 'needleman-wunsch', 'needleman-wunsch-algorithm', 'python', 'sequence-alignment'];Python;2018
TeamMacLean/atacr;13;2016-11-17;0;['analysis', 'atac-seq', 'bioinformatics', 'capture', 'count-data', 'data', 'genomics', 'r', 'rnaseq', 'science'];R;2018
AliciaSchep/ggmotif;12;2016-02-12;3;['bioinformatics', 'r', 'visualization'];R;2018
lynnlangit/AdvancedPythonForBio;12;2017-03-01;15;['bioinformatics', 'python'];Jupyter Notebook;2018
andersgs/harrietr;12;2017-02-15;3;['bioinformatics', 'evolution', 'phylogenetics', 'r'];R;2018
fkaiserbio/fit3d;11;2017-12-14;2;['bioinformatics', 'chemoinformatics', 'protein-structure'];Java;2018
rasbt/HbindViz;11;2017-11-08;5;['bioinformatics', 'computational-biology', 'hydrogen-bonds', 'protein-ligand-interactions', 'protein-structure'];Python;2018
denalitherapeutics/archs4;10;2018-03-26;1;['bioinformatics', 'rnaseq'];R;2018
MoseleyBioinformaticsLab/jpredapi;10;2017-04-14;3;['bioinformatics', 'python', 'secondary-structure'];Python;2018
genecoin-science/genecoin_development;10;2017-12-13;2;['bioinformatics', 'blockchain', 'cryptocurrency', 'erc20-tokens', 'ethereum', 'initial-coin-offering'];JavaScript;2018
BNext-IQT/GEMstone;10;2017-08-24;3;['bioinformatics', 'genomics', 'homomorphic-encryption', 'paillier-cryptosystem'];C++;2018
bionode/bionode;314;2014-01-23;37;['bioinformatics', 'bionode', 'metapackage', 'nodejs', 'os4openscience', 'tools'];JavaScript;2019
baldassarreFe/graph-network-explainability;126;2019-03-14;16;['artificial-intelligence', 'bioinformatics', 'explainability', 'graph-networks'];Jupyter Notebook;2019
cslarsen/arv;121;2017-02-28;7;['23andme', 'bioinformatics', 'dna', 'genome', 'python', 'snpedia', 'snps'];C++;2019
shenwei356/bio_scripts;102;2013-10-17;66;['bioinformatics', 'perl', 'python', 'reusable', 'script'];Perl;2019
rezacsedu/Drug-Drug-Interaction-Prediction;98;2019-05-11;29;['bioinformatics', 'convolutional-neural-network', 'deep-learning', 'drug-discovery', 'knowledge-graph', 'lstm-neural-networks', 'machine-learning'];Jupyter Notebook;2019
lh3/bgt;94;2015-05-02;10;['bioinformatics', 'genomics'];C;2019
lh3/dna-nn;77;2018-12-16;10;['bioinformatics', 'deep-learning', 'genomics'];C;2019
alexcritschristoph/Qiime16sTutorial;71;2015-09-18;27;['bioinformatics'];HTML;2019
bionode/bionode-ncbi;67;2014-05-25;18;['api-client', 'bioinformatics', 'bionode', 'nodejs', 'tool'];JavaScript;2019
Bohdan-Khomtchouk/Biochat;54;2017-01-11;11;['bioinformatics', 'common-lisp', 'computational-biology', 'gene-expression-omnibus', 'integrative-analysis', 'lisp', 'metadata', 'metadata-extraction', 'natural-language-processing', 'nlp'];Common Lisp;2019
lh3/etrf;51;2019-10-01;2;['bioinformatics'];C;2019
aleimba/bac-genomics-scripts;48;2014-01-09;36;['annotation', 'bioinformatics', 'bioperl', 'blast', 'computational-biology', 'genomics', 'microbial-genomics', 'microbiology', 'mlst', 'ngs', 'opensource', 'perl', 'science', 'scripts-collection', 'sequencing', 'unix'];Perl;2019
karel-brinda/ococo;46;2015-10-30;3;['bioinformatics', 'consensus', 'ngs', 'online-algorithms', 'variant-calling'];C++;2019
montilab/pipeliner;44;2017-08-03;13;['bioinformatics', 'computational-biology', 'nextflow', 'rna-seq', 'workflow'];Nextflow;2019
mklarqvist/tomahawk;44;2017-07-17;10;['bioinformatics', 'genetics', 'genomics', 'linkage-disequilibrium', 'population-genetics', 'vectorization'];C++;2019
lvulliard/BioCircos.R;39;2017-11-26;9;['biocircos', 'bioinformatics', 'circos', 'circos-graphs', 'htmlwidgets', 'shiny'];JavaScript;2019
lh3/bioseq-js;39;2015-04-15;16;['bioinformatics', 'sequence-alignment'];HTML;2019
solgenomics/SNPbinner;37;2016-10-24;22;['analysis', 'bioinformatics', 'genotype', 'hmm', 'recombination', 'snp', 'snp-data'];Python;2019
biocoder/Perl-for-Bioinformatics;35;2011-11-17;28;['bioinformatics', 'lncrna', 'mirna', 'ncrna', 'perl', 'pipeline'];Python;2019
tseemann/phastaf;34;2019-05-17;4;['bacteria', 'bioinformatics', 'genomics', 'phage'];Perl;2019
datquocnguyen/BioPosDep;33;2018-08-13;5;['bioinformatics', 'biomedical-text-mining', 'bionlp', 'dependency-parsing', 'pos-tagging', 'segmenter', 'tokenizer'];Python;2019
jason-weirather/hla-polysolver;33;2017-11-02;18;['bioinformatics', 'hla', 'mhc', 'polysolver'];Perl;2019
ronakvijay/Protein_Sequence_Classification;32;2019-09-20;15;['bioinformatics', 'deep-learning', 'machine-learning', 'multiclass-classification', 'protein-sequences'];Jupyter Notebook;2019
TheJacksonLaboratory/JAXBD2K-ShortCourse;32;2018-10-04;6;['bioinformatics', 'education'];Shell;2019
saketkc/rna-seq-snakemake;31;2016-11-07;12;['bioinformatics', 'pipeline', 'rna-seq-analysis', 'rna-seq-snakemake', 'snakemake'];R;2019
menghaowei/ngstools;30;2019-08-02;9;['bioinformatics', 'next-generation-sequencing', 'python', 'r'];Python;2019
JackieMium/my_blog;30;2018-03-08;12;['bioinformatics', 'blog', 'blogs', 'debian', 'linux', 'postgresql', 'r'];R;2019
rasbt/Hbind;28;2017-10-20;15;['bioinformatics', 'computational-biology', 'data-science', 'hydrogen-bonds', 'protein-ligand-interfaces'];C;2019
antigenomics/vdjviz;27;2014-09-17;8;['bioinformatics', 'browser', 'immunology', 'rep-seq', 'web'];JavaScript;2019
szymonzaczek/MDMS;26;2019-03-20;10;['bioinformatics', 'computational-chemistry', 'interface', 'molecular-dynamics', 'python'];Python;2019
BenLangmead/qtip;25;2016-03-06;7;['bioinformatics', 'genomics'];C++;2019
tseemann/berokka;25;2016-10-13;3;['bioinformatics', 'circular-genome', 'genome-assembly', 'genomics', 'long-read-sequencing'];Perl;2019
GarrettJenkinson/informME;24;2017-02-02;9;['bash', 'bioinformatics', 'cpp', 'information-theory', 'ising-model', 'matlab', 'methylation', 'next-generation-sequencing', 'parallel-computing', 'parameter-estimation', 'r', 'sge', 'slurm'];MATLAB;2019
haichengyi/ACP-DL;24;2018-08-29;13;['anticancer-peptides', 'bioinformatics', 'deep-learning', 'lstm'];Python;2019
yunchuankong/GEDFN;23;2018-04-09;16;['bioinformatics', 'classification', 'deep-learning', 'deep-neural-networks', 'feature-selection', 'feedforward-neural-network', 'gene-expression', 'network-analysis', 'tensorflow'];Python;2019
glrs/StackedDAE;23;2016-02-27;13;['autoencoders', 'bioinformatics', 'deep-neural-networks', 'single-cell-rna-seq', 'tensorflow'];Python;2019
medvedevgroup/vargeno;22;2017-12-23;4;['algorithms', 'bioinformatics', 'computational-biology', 'data-structures', 'genotyping', 'snps'];C++;2019
otiai10/cwl.go;22;2017-07-21;7;['bioinformatics', 'common-workflow-language', 'cwl', 'golang'];Go;2019
leeyang/ResPRE;21;2019-03-15;8;['bioinformatics', 'protein', 'pytorch-implmention', 'structural-biology'];Python;2019
SGBC/galaksio;20;2016-05-16;7;['bioinformatics', 'bioinformatics-analysis', 'docker', 'easy-to-use', 'galaxy', 'ngs', 'reproducible-research', 'science', 'user-friendly', 'workflow', 'workflows'];JavaScript;2019
mklarqvist/tachyon;20;2017-11-15;3;['bioinformatics', 'compression', 'genetics', 'genomics', 'variant-analysis'];C++;2019
bioinformatics-core-shared-training/cruk-summer-school-2019;20;2018-12-19;10;['bioinformatics', 'cruk', 'summerschool'];HTML;2019
G3viz/g3lollipop.js;20;2018-05-17;13;['bioinformatics', 'genomics-visualization', 'lollipop-plot', 'variants', 'visualize-mutation-data'];JavaScript;2019
IbrahimTanyalcin/lexicon-mono-seq;20;2019-04-02;5;['alignment', 'animation-library', 'ascii', 'ascii-art', 'async-programming', 'bioinformatics', 'biology', 'data-visualization', 'good-first-issue', 'help-wanted', 'javascript', 'javascript-library', 'msa', 'msa-viewer', 'sequence-alignment', 'vanilla-javascript'];JavaScript;2019
deeptools/HiCBrowser;19;2015-11-05;5;['bioinformatics', 'browser', 'docker', 'epigenetics', 'genomics', 'hi-c', 'hicexplorer', 'visualization'];JavaScript;2019
nilesh-tawari/ChronQC;18;2017-06-07;10;['bioinformatics', 'bioinformatics-analysis', 'bioinformatics-data', 'ngs', 'python', 'qc', 'quality-control', 'visualization'];HTML;2019
otiai10/yacle;18;2017-06-08;3;['bioinformatics', 'common-workflow-language', 'cwl'];Go;2019
insilichem/tangram;17;2017-11-03;3;['bioinformatics', 'cheminformatics', 'graphical-interface', 'ucsf-chimera'];Shell;2019
mwootten/snn-seizure-prediction;16;2017-09-14;7;['bioinformatics', 'jupyter-notebook', 'seizure-prediction'];Jupyter Notebook;2019
Illumina/happyR;16;2017-08-15;1;['bioinformatics', 'r', 'variant-analysis', 'vcf-comparison'];R;2019
sstadick/rumi;15;2019-11-25;1;['algorithms', 'bioinformatics', 'rust', 'umi'];Rust;2019
mklarqvist/libflagstats;15;2019-04-24;3;['avx2', 'avx512', 'bioinformatics', 'genetics', 'popcnt', 'popcount', 'pospopcnt', 'simd', 'sse4'];C;2019
lasersonlab/single-cell-experiments;15;2018-06-05;8;['bioinformatics', 'genomics', 'human-cell-atlas', 'single-cell'];Jupyter Notebook;2019
Eslam-Samir-Ragab/Sequence-database-curator;15;2017-01-12;4;['bioinformatics', 'curator', 'database', 'fasta', 'fastq', 'gene', 'genetics', 'genomics', 'metagenomics', 'ncbi', 'nucleotide', 'protein', 'proteomics', 'redundancy', 'sequence'];Python;2019
bionode/bionode-fasta;14;2014-07-11;8;['bioinformatics', 'bionode', 'nodejs', 'parser', 'tools'];JavaScript;2019
xuehansheng/DeepMNE-CNN;14;2019-01-22;3;['bioinformatics', 'function-prediction'];Python;2019
Azure/azure-hpc;14;2017-03-01;11;['azure-hpc', 'azure-storage', 'bioinformatics', 'blast', 'blast-search', 'blast-searches', 'blastn', 'lifescience', 'research'];JavaScript;2019
NCBI-Hackathons/HLAClustRView;14;2018-10-12;10;['bioinformatics', 'bioinformatics-tool', 'clustering', 'data-science', 'hla-typing', 'metrics', 'package', 'r', 'visualization'];R;2019
defleury/Schmidt_et_al_2016_community_similarity;14;2015-12-18;6;['bioinformatics', 'biology', 'ecology', 'networks'];R;2019
nshomron/hoobari;14;2018-09-05;3;['bioinformatics', 'cell-free-dna', 'cell-free-fetal-dna', 'dna', 'fetal', 'genomics', 'ngs', 'nipt', 'sequencing', 'variant-calling'];Python;2019
evocellnet/ptm_hotspots;14;2019-01-15;3;['bioinformatics', 'phosphoproteomics', 'protein-domains'];Python;2019
scastlara/ppaxe;13;2017-07-19;5;['bioinformatics', 'gene-network', 'machine-learning', 'nlp', 'protein-protein-interaction', 'text-mining'];Python;2019
Colelyman/kleuren;13;2017-06-22;2;['bioinformatics', 'de-bruijn-graphs', 'phylogenetics', 'phylogeny'];C++;2019
Biochemistry1-FFM/uORF-Tools;13;2018-03-02;5;['bioinformatics', 'high-throughput-sequencing', 'ribosome-profiling', 'snakemake'];Python;2019
masyagin1998/bio-alignment;12;2019-10-06;0;['bioinformatics', 'comparing-biological-sequences', 'dynamic-programming', 'hirschberg', 'needleman-wunsch', 'smith-waterman'];C;2019
antigenomics/repseq-annotation-tutorial;11;2017-11-22;7;['bioinformatics', 'immunology', 'r', 'sequencing', 'tutorial'];TeX;2019
frazer-lab/i2QTL-SV-STR-analysis;11;2019-06-23;1;['bioinformatics', 'research', 'structural-variation'];Jupyter Notebook;2019
skimbleshank/upgma;11;2018-10-24;0;['bioinformatics', 'clustering', 'data-science', 'data-visualization', 'matplotlib', 'numpy', 'pandas', 'scipy', 'seaborn', 'unsupervised-learning', 'upgma'];Python;2019
sndrtj/afplot;11;2016-08-25;2;['bioinformatics', 'vcf', 'visualization'];Python;2019
soedinglab/PEnG-motif;10;2016-11-09;3;['bioinformatics', 'chip-seq', 'dna', 'motif-discovery', 'rna'];C++;2019
