,year,stars,forks,topic
238,2022,0,0,ai-scientist
239,2023,0,0,ai-scientist
240,2024,0,0,ai-scientist
241,2025,2487,290,ai-scientist
242,2013,0,0,ai4science
243,2016,0,0,ai4science
244,2017,0,0,ai4science
245,2018,0,0,ai4science
246,2019,0,0,ai4science
247,2020,0,0,ai4science
248,2021,0,0,ai4science
249,2022,0,0,ai4science
250,2023,34,14,ai4science
251,2024,34,0,ai4science
252,2025,34,0,ai4science
253,2013,0,0,algorithm
254,2016,0,0,algorithm
255,2017,0,0,algorithm
256,2018,21,8,algorithm
257,2019,21,0,algorithm
258,2020,21,0,algorithm
259,2021,95,27,algorithm
260,2022,236,19,algorithm
261,2023,236,0,algorithm
262,2024,501,69,algorithm
263,2025,501,0,algorithm
264,2013,0,0,algorithms
265,2016,0,0,algorithms
266,2017,0,0,algorithms
267,2018,80,48,algorithms
268,2019,117,5,algorithms
269,2020,246,4,algorithms
270,2021,349,23,algorithms
271,2022,376,1,algorithms
272,2023,376,0,algorithms
273,2024,513,9,algorithms
274,2025,513,0,algorithms
275,2013,19,7,alignment
276,2016,19,0,alignment
277,2017,19,0,alignment
278,2018,32,5,alignment
279,2019,52,5,alignment
280,2020,148,6,alignment
281,2021,347,29,alignment
282,2022,438,31,alignment
283,2023,693,46,alignment
284,2024,1631,102,alignment
285,2025,4162,410,alignment
286,2013,0,0,alignment-algorithm
287,2016,0,0,alignment-algorithm
288,2017,0,0,alignment-algorithm
289,2018,13,5,alignment-algorithm
290,2019,13,0,alignment-algorithm
291,2020,13,0,alignment-algorithm
292,2021,13,0,alignment-algorithm
293,2022,13,0,alignment-algorithm
294,2023,13,0,alignment-algorithm
295,2024,144,15,alignment-algorithm
296,2025,144,0,alignment-algorithm
297,2013,0,0,alignment-free
298,2016,0,0,alignment-free
299,2017,0,0,alignment-free
300,2018,0,0,alignment-free
301,2019,0,0,alignment-free
302,2020,19,1,alignment-free
303,2021,19,0,alignment-free
304,2022,19,0,alignment-free
305,2023,66,14,alignment-free
306,2024,66,0,alignment-free
307,2025,66,0,alignment-free
308,2013,0,0,alignment-path
309,2016,0,0,alignment-path
310,2017,0,0,alignment-path
311,2018,0,0,alignment-path
312,2019,0,0,alignment-path
313,2020,0,0,alignment-path
314,2021,0,0,alignment-path
315,2022,0,0,alignment-path
316,2023,0,0,alignment-path
317,2024,0,0,alignment-path
318,2025,575,174,alignment-path
319,2013,0,0,alignments
320,2016,0,0,alignments
321,2017,0,0,alignments
322,2018,0,0,alignments
323,2019,0,0,alignments
324,2020,0,0,alignments
325,2021,0,0,alignments
326,2022,0,0,alignments
327,2023,0,0,alignments
328,2024,0,0,alignments
329,2025,1131,140,alignments
330,2013,0,0,alk
331,2016,0,0,alk
332,2017,0,0,alk
333,2018,0,0,alk
334,2019,0,0,alk
335,2020,0,0,alk
336,2021,0,0,alk
337,2022,131,60,alk
338,2023,131,0,alk
339,2024,131,0,alk
340,2025,131,0,alk
341,2013,0,0,allele-specific
342,2016,0,0,allele-specific
343,2017,0,0,allele-specific
344,2018,0,0,allele-specific
345,2019,0,0,allele-specific
346,2020,0,0,allele-specific
347,2021,0,0,allele-specific
348,2022,0,0,allele-specific
349,2023,61,21,allele-specific
350,2024,61,0,allele-specific
351,2025,61,0,allele-specific
352,2013,0,0,alliance
353,2016,0,0,alliance
354,2017,0,0,alliance
355,2018,99,91,alliance
356,2019,99,0,alliance
357,2020,99,0,alliance
358,2021,99,0,alliance
359,2022,99,0,alliance
360,2023,99,0,alliance
361,2024,99,0,alliance
362,2025,99,0,alliance
363,2013,0,0,allmaps
364,2016,0,0,allmaps
365,2017,0,0,allmaps
366,2018,0,0,allmaps
367,2019,0,0,allmaps
368,2020,0,0,allmaps
369,2021,0,0,allmaps
370,2022,0,0,allmaps
371,2023,0,0,allmaps
372,2024,0,0,allmaps
373,2025,882,197,allmaps
374,2013,0,0,alphafold
375,2016,0,0,alphafold
376,2017,0,0,alphafold
377,2018,0,0,alphafold
378,2019,0,0,alphafold
379,2020,0,0,alphafold
380,2021,0,0,alphafold
381,2022,0,0,alphafold
382,2023,75,11,alphafold
383,2024,192,26,alphafold
384,2025,192,0,alphafold
385,2013,0,0,alphafold2
386,2016,0,0,alphafold2
387,2017,0,0,alphafold2
388,2018,0,0,alphafold2
389,2019,0,0,alphafold2
390,2020,0,0,alphafold2
391,2021,0,0,alphafold2
392,2022,0,0,alphafold2
393,2023,0,0,alphafold2
394,2024,284,44,alphafold2
395,2025,284,0,alphafold2
396,2013,0,0,alphapept-ecosystem
397,2016,0,0,alphapept-ecosystem
398,2017,0,0,alphapept-ecosystem
399,2018,0,0,alphapept-ecosystem
400,2019,0,0,alphapept-ecosystem
401,2020,0,0,alphapept-ecosystem
402,2021,0,0,alphapept-ecosystem
403,2022,0,0,alphapept-ecosystem
404,2023,0,0,alphapept-ecosystem
405,2024,184,34,alphapept-ecosystem
406,2025,184,0,alphapept-ecosystem
407,2013,0,0,alu
408,2016,0,0,alu
409,2017,0,0,alu
410,2018,0,0,alu
411,2019,0,0,alu
412,2020,0,0,alu
413,2021,19,1,alu
414,2022,19,0,alu
415,2023,19,0,alu
416,2024,19,0,alu
417,2025,19,0,alu
418,2013,0,0,amino-acid-composition
419,2016,0,0,amino-acid-composition
420,2017,0,0,amino-acid-composition
421,2018,0,0,amino-acid-composition
422,2019,0,0,amino-acid-composition
423,2020,0,0,amino-acid-composition
424,2021,0,0,amino-acid-composition
425,2022,0,0,amino-acid-composition
426,2023,0,0,amino-acid-composition
427,2024,65,22,amino-acid-composition
428,2025,65,0,amino-acid-composition
429,2013,0,0,amplicon
430,2016,0,0,amplicon
431,2017,21,6,amplicon
432,2018,21,0,amplicon
433,2019,21,0,amplicon
434,2020,40,9,amplicon
435,2021,40,0,amplicon
436,2022,40,0,amplicon
437,2023,40,0,amplicon
438,2024,40,0,amplicon
439,2025,1300,293,amplicon
440,2013,0,0,amplicon-sequencing
441,2016,0,0,amplicon-sequencing
442,2017,0,0,amplicon-sequencing
443,2018,0,0,amplicon-sequencing
444,2019,0,0,amplicon-sequencing
445,2020,0,0,amplicon-sequencing
446,2021,0,0,amplicon-sequencing
447,2022,0,0,amplicon-sequencing
448,2023,0,0,amplicon-sequencing
449,2024,122,39,amplicon-sequencing
450,2025,122,0,amplicon-sequencing
451,2013,0,0,amr
452,2016,0,0,amr
453,2017,0,0,amr
454,2018,0,0,amr
455,2019,0,0,amr
456,2020,0,0,amr
457,2021,0,0,amr
458,2022,0,0,amr
459,2023,75,19,amr
460,2024,75,0,amr
461,2025,75,0,amr
462,2013,0,0,analyses
463,2016,0,0,analyses
464,2017,0,0,analyses
465,2018,0,0,analyses
466,2019,0,0,analyses
467,2020,0,0,analyses
468,2021,0,0,analyses
469,2022,0,0,analyses
470,2023,51,13,analyses
471,2024,51,0,analyses
472,2025,51,0,analyses
473,2013,0,0,analysis
474,2016,0,0,analysis
475,2017,24,6,analysis
476,2018,37,0,analysis
477,2019,74,22,analysis
478,2020,74,0,analysis
479,2021,74,0,analysis
480,2022,74,0,analysis
481,2023,239,34,analysis
482,2024,416,66,analysis
483,2025,1815,645,analysis
484,2013,0,0,analytical-chemistry
485,2016,0,0,analytical-chemistry
486,2017,0,0,analytical-chemistry
487,2018,0,0,analytical-chemistry
488,2019,0,0,analytical-chemistry
489,2020,0,0,analytical-chemistry
490,2021,53,22,analytical-chemistry
491,2022,53,0,analytical-chemistry
492,2023,53,0,analytical-chemistry
493,2024,53,0,analytical-chemistry
494,2025,53,0,analytical-chemistry
495,2013,0,0,analytics
496,2016,0,0,analytics
497,2017,0,0,analytics
498,2018,0,0,analytics
499,2019,0,0,analytics
500,2020,0,0,analytics
501,2021,0,0,analytics
502,2022,37,6,analytics
503,2023,37,0,analytics
504,2024,37,0,analytics
505,2025,37,0,analytics
506,2013,0,0,animal-movement
507,2016,0,0,animal-movement
508,2017,0,0,animal-movement
509,2018,0,0,animal-movement
510,2019,0,0,animal-movement
511,2020,110,20,animal-movement
512,2021,110,0,animal-movement
513,2022,110,0,animal-movement
514,2023,110,0,animal-movement
515,2024,110,0,animal-movement
516,2025,110,0,animal-movement
517,2013,0,0,animal-science
518,2016,0,0,animal-science
519,2017,0,0,animal-science
520,2018,0,0,animal-science
521,2019,0,0,animal-science
522,2020,110,20,animal-science
523,2021,110,0,animal-science
524,2022,110,0,animal-science
525,2023,110,0,animal-science
526,2024,110,0,animal-science
527,2025,110,0,animal-science
528,2013,0,0,animal-tracking
529,2016,0,0,animal-tracking
530,2017,0,0,animal-tracking
531,2018,0,0,animal-tracking
532,2019,0,0,animal-tracking
533,2020,110,20,animal-tracking
534,2021,110,0,animal-tracking
535,2022,110,0,animal-tracking
536,2023,110,0,animal-tracking
537,2024,110,0,animal-tracking
538,2025,110,0,animal-tracking
539,2013,0,0,animation-library
540,2016,0,0,animation-library
541,2017,0,0,animation-library
542,2018,0,0,animation-library
543,2019,20,5,animation-library
544,2020,20,0,animation-library
545,2021,20,0,animation-library
546,2022,20,0,animation-library
547,2023,20,0,animation-library
548,2024,20,0,animation-library
549,2025,20,0,animation-library
550,2013,0,0,anm
551,2016,0,0,anm
552,2017,0,0,anm
553,2018,0,0,anm
554,2019,0,0,anm
555,2020,24,9,anm
556,2021,24,0,anm
557,2022,24,0,anm
558,2023,24,0,anm
559,2024,24,0,anm
560,2025,24,0,anm
561,2013,0,0,anndata
562,2016,0,0,anndata
563,2017,0,0,anndata
564,2018,0,0,anndata
565,2019,0,0,anndata
566,2020,0,0,anndata
567,2021,0,0,anndata
568,2022,0,0,anndata
569,2023,0,0,anndata
570,2024,0,0,anndata
571,2025,3003,866,anndata
572,2013,0,0,annotated-corpora
573,2016,0,0,annotated-corpora
574,2017,0,0,annotated-corpora
575,2018,0,0,annotated-corpora
576,2019,0,0,annotated-corpora
577,2020,0,0,annotated-corpora
578,2021,0,0,annotated-corpora
579,2022,106,29,annotated-corpora
580,2023,106,0,annotated-corpora
581,2024,106,0,annotated-corpora
582,2025,106,0,annotated-corpora
583,2013,0,0,annotation
584,2016,0,0,annotation
585,2017,0,0,annotation
586,2018,0,0,annotation
587,2019,48,36,annotation
588,2020,48,0,annotation
589,2021,69,18,annotation
590,2022,69,0,annotation
591,2023,237,47,annotation
592,2024,237,0,annotation
593,2025,1742,628,annotation
594,2013,0,0,annotation-enrichment
595,2016,0,0,annotation-enrichment
596,2017,0,0,annotation-enrichment
597,2018,0,0,annotation-enrichment
598,2019,0,0,annotation-enrichment
599,2020,88,23,annotation-enrichment
600,2021,88,0,annotation-enrichment
601,2022,88,0,annotation-enrichment
602,2023,88,0,annotation-enrichment
603,2024,88,0,annotation-enrichment
604,2025,88,0,annotation-enrichment
605,2013,0,0,annotation-pipeline
606,2016,0,0,annotation-pipeline
607,2017,0,0,annotation-pipeline
608,2018,0,0,annotation-pipeline
609,2019,0,0,annotation-pipeline
610,2020,0,0,annotation-pipeline
611,2021,0,0,annotation-pipeline
612,2022,0,0,annotation-pipeline
613,2023,59,11,annotation-pipeline
614,2024,59,0,annotation-pipeline
615,2025,59,0,annotation-pipeline
616,2013,0,0,annotation-tool
617,2016,0,0,annotation-tool
618,2017,0,0,annotation-tool
619,2018,0,0,annotation-tool
620,2019,0,0,annotation-tool
621,2020,0,0,annotation-tool
622,2021,0,0,annotation-tool
623,2022,0,0,annotation-tool
624,2023,0,0,annotation-tool
625,2024,0,0,annotation-tool
626,2025,393,58,annotation-tool
627,2013,0,0,annotations
628,2016,0,0,annotations
629,2017,0,0,annotations
630,2018,0,0,annotations
631,2019,0,0,annotations
632,2020,0,0,annotations
633,2021,0,0,annotations
634,2022,99,37,annotations
635,2023,227,26,annotations
636,2024,227,0,annotations
637,2025,227,0,annotations
638,2013,0,0,antibody
639,2016,0,0,antibody
640,2017,0,0,antibody
641,2018,0,0,antibody
642,2019,0,0,antibody
643,2020,25,3,antibody
644,2021,25,0,antibody
645,2022,25,0,antibody
646,2023,25,0,antibody
647,2024,167,42,antibody
648,2025,167,0,antibody
649,2013,0,0,antibody-numbering
650,2016,0,0,antibody-numbering
651,2017,0,0,antibody-numbering
652,2018,0,0,antibody-numbering
653,2019,0,0,antibody-numbering
654,2020,25,3,antibody-numbering
655,2021,25,0,antibody-numbering
656,2022,25,0,antibody-numbering
657,2023,25,0,antibody-numbering
658,2024,25,0,antibody-numbering
659,2025,25,0,antibody-numbering
660,2013,0,0,antibody-sequences
661,2016,0,0,antibody-sequences
662,2017,0,0,antibody-sequences
663,2018,0,0,antibody-sequences
664,2019,0,0,antibody-sequences
665,2020,25,3,antibody-sequences
666,2021,25,0,antibody-sequences
667,2022,25,0,antibody-sequences
668,2023,25,0,antibody-sequences
669,2024,25,0,antibody-sequences
670,2025,25,0,antibody-sequences
671,2013,0,0,anticancer-peptides
672,2016,0,0,anticancer-peptides
673,2017,0,0,anticancer-peptides
674,2018,0,0,anticancer-peptides
675,2019,24,13,anticancer-peptides
676,2020,24,0,anticancer-peptides
677,2021,24,0,anticancer-peptides
678,2022,24,0,anticancer-peptides
679,2023,24,0,anticancer-peptides
680,2024,24,0,anticancer-peptides
681,2025,24,0,anticancer-peptides
682,2013,0,0,antigen
683,2016,0,0,antigen
684,2017,0,0,antigen
685,2018,39,7,antigen
686,2019,39,0,antigen
687,2020,39,0,antigen
688,2021,39,0,antigen
689,2022,39,0,antigen
690,2023,39,0,antigen
691,2024,39,0,antigen
692,2025,39,0,antigen
693,2013,0,0,anvio
694,2016,0,0,anvio
695,2017,0,0,anvio
696,2018,0,0,anvio
697,2019,0,0,anvio
698,2020,0,0,anvio
699,2021,0,0,anvio
700,2022,0,0,anvio
701,2023,0,0,anvio
702,2024,0,0,anvio
703,2025,490,151,anvio
704,2013,0,0,api
705,2016,0,0,api
706,2017,0,0,api
707,2018,0,0,api
708,2019,0,0,api
709,2020,0,0,api
710,2021,28,6,api
711,2022,94,25,api
712,2023,94,0,api
713,2024,210,35,api
714,2025,210,0,api
715,2013,0,0,api-client
716,2016,0,0,api-client
717,2017,0,0,api-client
718,2018,0,0,api-client
719,2019,67,18,api-client
720,2020,67,0,api-client
721,2021,67,0,api-client
722,2022,103,14,api-client
723,2023,103,0,api-client
724,2024,103,0,api-client
725,2025,103,0,api-client
726,2013,0,0,application
727,2016,0,0,application
728,2017,0,0,application
729,2018,0,0,application
730,2019,0,0,application
731,2020,0,0,application
732,2021,0,0,application
733,2022,0,0,application
734,2023,0,0,application
735,2024,0,0,application
736,2025,1044,377,application
737,2013,0,0,applied-bioinformatics-lab
738,2016,0,0,applied-bioinformatics-lab
739,2017,0,0,applied-bioinformatics-lab
740,2018,0,0,applied-bioinformatics-lab
741,2019,0,0,applied-bioinformatics-lab
742,2020,45,8,applied-bioinformatics-lab
743,2021,45,0,applied-bioinformatics-lab
744,2022,45,0,applied-bioinformatics-lab
745,2023,45,0,applied-bioinformatics-lab
746,2024,45,0,applied-bioinformatics-lab
747,2025,45,0,applied-bioinformatics-lab
748,2013,0,0,approximate-string-matching
749,2016,0,0,approximate-string-matching
750,2017,0,0,approximate-string-matching
751,2018,0,0,approximate-string-matching
752,2019,0,0,approximate-string-matching
753,2020,0,0,approximate-string-matching
754,2021,58,20,approximate-string-matching
755,2022,58,0,approximate-string-matching
756,2023,58,0,approximate-string-matching
757,2024,58,0,approximate-string-matching
758,2025,58,0,approximate-string-matching
759,2013,0,0,archaea
760,2016,0,0,archaea
761,2017,0,0,archaea
762,2018,0,0,archaea
763,2019,0,0,archaea
764,2020,62,15,archaea
765,2021,62,0,archaea
766,2022,62,0,archaea
767,2023,62,0,archaea
768,2024,62,0,archaea
769,2025,622,94,archaea
770,2013,0,0,archived
771,2016,0,0,archived
772,2017,0,0,archived
773,2018,0,0,archived
774,2019,0,0,archived
775,2020,0,0,archived
776,2021,34,7,archived
777,2022,34,0,archived
778,2023,34,0,archived
779,2024,34,0,archived
780,2025,34,0,archived
781,2013,0,0,aromatherapy
782,2016,0,0,aromatherapy
783,2017,0,0,aromatherapy
784,2018,0,0,aromatherapy
785,2019,0,0,aromatherapy
786,2020,0,0,aromatherapy
787,2021,0,0,aromatherapy
788,2022,0,0,aromatherapy
789,2023,128,18,aromatherapy
790,2024,128,0,aromatherapy
791,2025,128,0,aromatherapy
792,2013,0,0,arrayfire
793,2016,0,0,arrayfire
794,2017,0,0,arrayfire
795,2018,15,6,arrayfire
796,2019,15,0,arrayfire
797,2020,15,0,arrayfire
798,2021,15,0,arrayfire
799,2022,15,0,arrayfire
800,2023,15,0,arrayfire
801,2024,15,0,arrayfire
802,2025,15,0,arrayfire
803,2013,0,0,artificial-intelligence
804,2016,0,0,artificial-intelligence
805,2017,19,3,artificial-intelligence
806,2018,19,0,artificial-intelligence
807,2019,145,16,artificial-intelligence
808,2020,185,5,artificial-intelligence
809,2021,212,1,artificial-intelligence
810,2022,212,0,artificial-intelligence
811,2023,451,43,artificial-intelligence
812,2024,451,0,artificial-intelligence
813,2025,2264,254,artificial-intelligence
814,2013,0,0,arvados
815,2016,0,0,arvados
816,2017,0,0,arvados
817,2018,0,0,arvados
818,2019,0,0,arvados
819,2020,0,0,arvados
820,2021,0,0,arvados
821,2022,0,0,arvados
822,2023,0,0,arvados
823,2024,0,0,arvados
824,2025,415,125,arvados
825,2013,0,0,ascii
826,2016,0,0,ascii
827,2017,0,0,ascii
828,2018,0,0,ascii
829,2019,20,5,ascii
830,2020,20,0,ascii
831,2021,20,0,ascii
832,2022,20,0,ascii
833,2023,20,0,ascii
834,2024,20,0,ascii
835,2025,20,0,ascii
836,2013,0,0,ascii-art
837,2016,0,0,ascii-art
838,2017,0,0,ascii-art
839,2018,0,0,ascii-art
840,2019,20,5,ascii-art
841,2020,20,0,ascii-art
842,2021,20,0,ascii-art
843,2022,20,0,ascii-art
844,2023,20,0,ascii-art
845,2024,20,0,ascii-art
846,2025,20,0,ascii-art
847,2013,0,0,assembler
848,2016,0,0,assembler
849,2017,0,0,assembler
850,2018,0,0,assembler
851,2019,0,0,assembler
852,2020,0,0,assembler
853,2021,0,0,assembler
854,2022,0,0,assembler
855,2023,36,15,assembler
856,2024,131,16,assembler
857,2025,131,0,assembler
858,2013,0,0,assembly
859,2016,0,0,assembly
860,2017,0,0,assembly
861,2018,0,0,assembly
862,2019,0,0,assembly
863,2020,0,0,assembly
864,2021,20,8,assembly
865,2022,41,2,assembly
866,2023,175,30,assembly
867,2024,586,63,assembly
868,2025,1468,197,assembly
869,2013,0,0,assembly-graphs
870,2016,0,0,assembly-graphs
871,2017,0,0,assembly-graphs
872,2018,0,0,assembly-graphs
873,2019,0,0,assembly-graphs
874,2020,55,2,assembly-graphs
875,2021,55,0,assembly-graphs
876,2022,55,0,assembly-graphs
877,2023,55,0,assembly-graphs
878,2024,55,0,assembly-graphs
879,2025,55,0,assembly-graphs
880,2013,0,0,asset-management
881,2016,0,0,asset-management
882,2017,0,0,asset-management
883,2018,0,0,asset-management
884,2019,0,0,asset-management
885,2020,0,0,asset-management
886,2021,103,22,asset-management
887,2022,103,0,asset-management
888,2023,103,0,asset-management
889,2024,103,0,asset-management
890,2025,103,0,asset-management
891,2013,0,0,async-programming
892,2016,0,0,async-programming
893,2017,0,0,async-programming
894,2018,0,0,async-programming
895,2019,20,5,async-programming
896,2020,20,0,async-programming
897,2021,20,0,async-programming
898,2022,20,0,async-programming
899,2023,20,0,async-programming
900,2024,20,0,async-programming
901,2025,20,0,async-programming
902,2013,0,0,atac
903,2016,0,0,atac
904,2017,0,0,atac
905,2018,0,0,atac
906,2019,0,0,atac
907,2020,0,0,atac
908,2021,0,0,atac
909,2022,0,0,atac
910,2023,0,0,atac
911,2024,0,0,atac
912,2025,398,102,atac
913,2013,0,0,atac-seq
914,2016,0,0,atac-seq
915,2017,0,0,atac-seq
916,2018,13,0,atac-seq
917,2019,13,0,atac-seq
918,2020,145,34,atac-seq
919,2021,145,0,atac-seq
920,2022,167,11,atac-seq
921,2023,167,0,atac-seq
922,2024,351,39,atac-seq
923,2025,351,0,atac-seq
924,2013,0,0,atomic-interactions
925,2016,0,0,atomic-interactions
926,2017,0,0,atomic-interactions
927,2018,0,0,atomic-interactions
928,2019,0,0,atomic-interactions
929,2020,0,0,atomic-interactions
930,2021,0,0,atomic-interactions
931,2022,83,25,atomic-interactions
932,2023,83,0,atomic-interactions
933,2024,83,0,atomic-interactions
934,2025,83,0,atomic-interactions
935,2013,0,0,attention-mechanism
936,2016,0,0,attention-mechanism
937,2017,0,0,attention-mechanism
938,2018,0,0,attention-mechanism
939,2019,0,0,attention-mechanism
940,2020,25,9,attention-mechanism
941,2021,25,0,attention-mechanism
942,2022,45,5,attention-mechanism
