,name,stars,topics,language,selected_year
673,shenwei356/csvtk,1131,"['bioinformatics', 'command-line', 'cross-platform', 'csv', 'golang', 'tool', 'toolkit', 'tsv']",Go,2025
674,scikit-bio/scikit-bio,1127,"['bioinformatics', 'computational-biology']",Python,2025
560,scipipe/scipipe,1116,"['bioinformatics', 'bioinformatics-pipeline', 'cheminformatics', 'dataflow', 'fbp', 'go', 'golang', 'pipeline', 'scientific-workflows', 'scipipe', 'workflow', 'workflow-engine']",Go,2024
561,kexinhuang12345/DeepPurpose,1110,"['bioinformatics', 'covid19', 'ddi', 'deep-learning', 'drug-discovery', 'drug-drug-interaction', 'drug-property-prediction', 'drug-repurposing', 'drug-target-interaction', 'drug-target-interactions', 'dti-prediction', 'ppi', 'protein-function-prediction', 'protein-protein-interaction', 'qsar', 'repurposing-drugs', 'side-effects', 'toolkit', 'virtual-screening']",Jupyter Notebook,2024
675,plotly/react-plotly.js,1080,"['bioinformatics', 'charting-library', 'd3', 'data-visualization', 'fintech', 'plotly', 'react']",JavaScript,2025
676,shenwei356/rush,1066,"['bioinformatics', 'command', 'cross-platform', 'execute', 'golang', 'parallel', 'pipeline', 'shell', 'windows']",Go,2025
677,kblin/ncbi-genome-download,1053,"['bioinformatics', 'biology', 'command-line', 'download-genomes', 'genbank', 'genomics', 'ncbi', 'python']",Python,2025
678,broadinstitute/cromwell,1043,"['application', 'bioinformatics', 'cloud', 'containers', 'docker', 'executor', 'ga4gh', 'hpc', 'scala', 'wdl', 'workflow', 'workflow-description-language', 'workflow-execution']",Scala,2025
679,hail-is/hail,1042,"['bioinformatics', 'genetics', 'genomics', 'gwas', 'hail', 'python', 'software', 'vcf']",Python,2025
680,bigdatagenomics/adam,1042,"['avro', 'big-data', 'bioinformatics', 'genomics', 'java', 'parquet', 'python', 'r', 'scala', 'spark']",Scala,2025
681,moshi4/pyCirclize,1018,"['bioinformatics', 'chord-diagram', 'circos', 'comparative-genomics', 'data-visualization', 'dataviz', 'genomics', 'genomics-visualization', 'matplotlib', 'microbial-genomics', 'phylogenetic-trees', 'python', 'radar-chart', 'visualization']",Python,2025
562,BaranziniLab/KG_RAG,924,"['bert-models', 'bioinformatics', 'bioinformatics-algorithms', 'biomedical-applications', 'biomedical-informatics', 'context-aware', 'gpt', 'gpt35turbo', 'gpt4', 'knowledge-base', 'knowledge-graph', 'large-language-models', 'llama', 'llama2', 'llm', 'prompt-engineering', 'prompt-tuning', 'rag', 'retrieval-augmented-generation', 'sentence-transformers']",Jupyter Notebook,2024
682,biotite-dev/biotite,909,"['bioinformatics', 'computational-biology', 'pdb-files', 'sequence-analysis', 'structural-biology']",Python,2025
683,samtools/htslib,899,"['bam', 'bcf', 'bioinformatics', 'cram', 'htslib', 'ngs', 'sam', 'vcf']",C,2025
684,tanghaibao/jcvi,882,"['allmaps', 'assembly', 'bioinformatics', 'blast', 'comparative-genomics', 'genetic-maps', 'genome-sequencing', 'genomics', 'sequence-alignments', 'synteny', 'variant-calling']",Python,2025
685,pysam-developers/pysam,872,"['bioinformatics', 'htslib', 'ngs', 'python']",Cython,2025
563,COMBINE-lab/salmon,857,"['10x', 'bioinformatics', 'c-plus-plus', 'gene-expression', 'quantification', 'quasi-mapping', 'rna-seq', 'rna-seq-quantification', 'rnaseq', 'sailfish', 'salmon', 'scrna-seq', 'selective-alignment', 'single-cell', 'single-cell-rna-seq', 'transcriptome']",C++,2024
686,Starlitnightly/omicverse,807,"['bioinformatics', 'bulk-rna-seq', 'omics', 'single-cell']",Jupyter Notebook,2025
687,bwa-mem2/bwa-mem2,804,"['bioinformatics', 'genomics', 'sequence-alignment']",C++,2025
282,google/nucleus,799,"['bioinformatics', 'dna', 'genomics', 'tensorflow']",C++,2021
469,awslabs/dgl-lifesci,787,"['bioinformatics', 'cheminformatics', 'deep-learning', 'dgl', 'drug-discovery', 'geometric-deep-learning', 'graph-neural-networks', 'molecule']",Python,2023
564,dib-lab/khmer,780,"['bioinformatics', 'bloom-filter', 'count-min-sketch', 'dna', 'graph-traversal', 'k-mer', 'python']",Python,2024
688,BioContainers/containers,765,"['biocontainers-architecture', 'bioinformatics', 'bioinformatics-analysis', 'bioinformatics-containers', 'docker-image', 'dockerfiles', 'rkt']",Dockerfile,2025
689,BenLangmead/bowtie2,761,"['bioinformatics', 'c-plus-plus', 'genomics', 'read-aligners']",C++,2025
690,danforthcenter/plantcv,755,"['bioinformatics', 'image-analysis', 'plant-phenotyping', 'plantcv', 'science']",Python,2025
691,deeptools/deepTools,751,"['bioinformatics', 'chip-seq', 'genomics', 'ngs', 'python', 'rna-seq']",Python,2025
565,BioPandas/biopandas,745,"['bioinformatics', 'computational-biology', 'drug-discovery', 'mol2', 'molecular-structures', 'molecule', 'molecules', 'pandas-dataframe', 'pdb', 'pdb-files', 'protein-structure']",Python,2024
692,torognes/vsearch,730,"['amplicon', 'bioinformatics', 'chimera', 'clustering', 'fasta', 'fastq', 'metabarcoding', 'metagenomics', 'microbiome', 'search', 'sequence-alignment']",C++,2025
566,bebop/poly,719,"['alignment', 'bioengineering', 'bioinformatics', 'codon-optimizer', 'computational-biology', 'dna', 'dna-barcode', 'dna-barcoding', 'fasta', 'genbank', 'genetic-engineering', 'go', 'golden-gate', 'mash', 'molecular-biology', 'plasmids', 'primer-design', 'sequence-hashing', 'synbio', 'synthetic-biology']",Go,2024
693,chhylp123/hifiasm,711,"['bioinformatics', 'denovo-assembly', 'genomics', 'hifi-read', 'pacbio']",C++,2025
694,scverse/PyDESeq2,710,"['bioinformatics', 'differential-expression', 'python', 'rna-seq', 'transcriptomics']",Python,2025
376,seq-lang/seq,706,"['bioinformatics', 'compiler', 'computational-biology', 'domain-specific-language', 'genomics', 'programming-language', 'python']",C++,2022
695,scverse/anndata,696,"['anndata', 'bioinformatics', 'data-science', 'machine-learning', 'scanpy', 'scverse', 'transcriptomics']",Python,2025
696,voutcn/megahit,683,"['bioinformatics', 'data-structures', 'genome-assembly', 'genomics', 'metagenomics', 'succinct']",C++,2025
567,mims-harvard/PrimeKG,681,"['bioinformatics', 'dataset', 'graph-machine-learning', 'knowledge-graph', 'network-medicine', 'nlp-machine-learning', 'precision-medicine', 'therapeutics']",Jupyter Notebook,2024
697,Edinburgh-Genome-Foundry/DnaFeaturesViewer,671,"['bioinformatics', 'dna-visualization', 'genbank', 'molecular-biology', 'synthetic-biology', 'visualization']",Python,2025
698,plotly/dash-cytoscape,665,"['bioinformatics', 'biopython', 'computational-biology', 'cytoscape', 'cytoscapejs', 'dash', 'data-science', 'graph-theory', 'network-graph', 'network-visualization', 'plotly', 'plotly-dash']",Python,2025
377,lh3/bioawk,637,"['bioinformatics', 'sequence-analysis']",C,2022
699,ysig/GraKeL,634,"['bioinformatics', 'chemoinformatics', 'graph-classification', 'graph-kernels', 'graph-mining', 'graph-similarity', 'graph-similarity-algorithms', 'scikit-learn']",Python,2025
700,fritzsedlazeck/Sniffles,630,"['bioconda', 'bioinformatics', 'nanopore', 'ngm-lr', 'pacbio', 'structural-variation', 'structural-variations']",Python,2025
701,gamcil/clinker,627,"['bioinformatics', 'd3js', 'python', 'visualization']",Python,2025
702,cafferychen777/mLLMCelltype,623,"['artificial-intelligence', 'bioinformatics', 'cell-type-annotation', 'claude', 'computational-biology', 'consensus-algorithm', 'deepseek', 'gemini', 'grok', 'large-language-models', 'llm', 'multi-llm-consensus', 'openai', 'openrouter', 'qwen', 'scanpy', 'scrna', 'scrnaseq-analysis', 'seurat', 'single-cell']",Python,2025
703,pharmai/plip,623,"['bioinformatics', 'docker', 'openbabel', 'pdb', 'plip', 'protein-structure', 'python-bindings', 'scientific-computing', 'singularity']",Python,2025
704,biojava/biojava,619,"['bioinformatics', 'genomics', 'java', 'parser-library', 'pdb', 'protein-data-bank', 'protein-modification', 'protein-sequences', 'protein-structure', 'sequence-alignment', 'structural-bioinformatics', 'structure-alignment']",Java,2025
705,soedinglab/hh-suite,607,"['alignment', 'bioinformatics', 'cpp', 'hh-suite', 'hhblits', 'hhpred', 'hhsearch', 'opensource', 'profile-profile-search', 'profile-search', 'protein-structure', 'sequence-search', 'simd', 'viterbi']",C,2025
568,biod/sambamba,599,"['bam', 'bioinformatics', 'sam']",D,2024
470,jts/nanopolish,594,"['bioinformatics', 'c-plus-plus', 'epigenetics', 'genome-assembly', 'methylation', 'science']",C++,2023
706,ialbert/biostar-central,587,"['bioinformatics', 'biostar']",Python,2025
707,oschwengers/bakta,585,"['annotation', 'bacteria', 'bacterial-genomes', 'bioinformatics', 'genome-annotation', 'mag', 'metagenome-assembled-genomes', 'microbial-genomics', 'plasmids']",Python,2025
708,Martinsos/edlib,575,"['alignment-path', 'bioinformatics', 'c-plus-plus', 'edit-distance', 'levehnstein-distance', 'library', 'python', 'sequence-alignment']",C++,2025
709,insitro/redun,572,"['aws', 'bioinformatics', 'data-engineering', 'data-science', 'docker', 'etl', 'gcp', 'ml', 'python', 'workflow-engine']",Python,2025
710,plotly/dash-bio,568,"['bioinformatics', 'biojs', 'dash']",Python,2025
711,marcelm/cutadapt,567,"['bioinformatics', 'python']",Python,2025
712,Ecogenomics/GTDBTk,560,"['archaea', 'bacteria', 'bioinformatics', 'metagenomics', 'nomenclature', 'phylogenetics', 'species-assignments', 'taxonomy']",Python,2025
713,cdk/cdk,559,"['bioinformatics', 'blueobelisk', 'cheminformatics', 'chemistry', 'code4lib', 'java']",Java,2025
714,tseemann/snippy,557,"['bacteria', 'bioinformatics', 'fastq-analysis', 'genomics', 'haploid', 'indel-discovery', 'snps', 'variant-calling', 'vcf']",Perl,2025
715,opencobra/cobrapy,534,"['biochemistry', 'bioinformatics', 'cell-design', 'cobra', 'computational-biology', 'flux', 'metabolic-models', 'metabolic-network', 'metabolism', 'modeling', 'python', 'sbml', 'sbml-model', 'sbml-simulation', 'strain-engineering', 'systems-biology']",Python,2025
716,sourmash-bio/sourmash,533,"['bioinformatics', 'fracminhash', 'hacktoberfest', 'kmer', 'minhash', 'python', 'rust', 'scaled-minhash', 'sketching', 'sourmash', 'taxonomic-classification', 'taxonomic-profiling']",Python,2025
717,plotly/react-cytoscapejs,531,"['bioinformatics', 'network-graph', 'react']",JavaScript,2025
718,benjjneb/dada2,530,"['amplicon', 'bioconductor', 'bioinformatics', 'metabarcoding', 'metagenomics', 'microbiome', 'taxonomy']",R,2025
719,nf-core/sarek,528,"['annotation', 'bioinformatics', 'cancer', 'conda', 'containers', 'gatk4', 'genomics', 'germline', 'next-generation-sequencing', 'nextflow', 'nf-core', 'pipeline', 'pre-processing', 'reproducible-research', 'somatic', 'target-panels', 'variant-calling', 'whole-exome-sequencing', 'whole-genome-sequencing', 'workflow']",Nextflow,2025
720,nicgirault/circosJS,527,"['big-data', 'bigdata', 'bioinformatics', 'bioinformatics-data', 'circos', 'circos-graphs', 'circular', 'd3js', 'javascript']",JavaScript,2025
721,joybio/multiPrime,522,"['bioinformatics', 'multiplexpcr', 'panel', 'pcr', 'python', 'snakemake', 'tngs', 'viterbi']",Python,2025
722,plotly/Dash.jl,514,"['bioinformatics', 'charting', 'dash', 'dashboard', 'data-science', 'data-visualization', 'finance', 'gui-framework', 'julia', 'modeling', 'no-javascript', 'no-vba', 'plotly', 'plotly-dash', 'productivity', 'react', 'technical-computing', 'web-app']",Julia,2025
723,lindenb/jvarkit,513,"['bioinformatics', 'biology', 'genomics', 'java', 'next-generation-sequencing', 'ngs', 'science']",Java,2025
724,merenlab/anvio,490,"['anvio', 'bioinformatics', 'comparative-genomics', 'javascript', 'metagenomics', 'metatranscriptomics', 'pangenomics', 'phylogenomics', 'population-genetics', 'python', 'science', 'visualization']",Python,2025
569,ablab/quast,488,"['bioinformatics', 'contigs', 'genome-assembly-evaluation', 'visualization']",AMPL,2024
725,PoisonAlien/maftools,481,"['bioinformatics', 'cancer-genome-atlas', 'cancer-genomics', 'genomics', 'maf-files', 'r', 'tcga']",R,2025
726,mdshw5/pyfaidx,478,"['bgzf', 'bioinformatics', 'dna', 'fasta', 'genomics', 'indexing', 'protein', 'python', 'samtools']",Python,2025
728,aidenlab/juicer,473,"['3d-genome', '3d-genome-browser', 'bioinformatics', 'genomics', 'hi-c', 'ngs']",Shell,2025
727,GMOD/jbrowse,473,"['bioinformatics', 'biology', 'genome-annotation', 'genome-browser', 'genomics', 'protein-annotation']",JavaScript,2025
471,priyank-purohit/PostGUI,472,"['admin', 'bioinformatics', 'dashboard', 'data', 'data-sharing', 'database', 'database-as-a-service', 'database-gui', 'genomics', 'gui', 'material-design', 'material-ui', 'postgres', 'postgresql', 'postgrest', 'query-builder', 'react', 'react-admin', 'reactjs', 'typescript']",JavaScript,2023
729,lh3/minigraph,464,"['bioinformatics', 'genome-graph', 'genomics', 'pan-genome', 'sequence-alignment']",C,2025
730,openbiox/weekly,460,"['bioinformatics', 'free-journals', 'weekly']",HTML,2025
731,Illumina/manta,456,"['bioinformatics', 'indels', 'structural-variation', 'structural-variations']",C++,2025
472,Illumina/hap.py,455,"['bioinformatics', 'genomics', 'vcf', 'vcf-comparison']",C++,2023
732,shenwei356/taxonkit,452,"['bioinformatics', 'cross-platform', 'lca', 'lineage', 'taxdump', 'taxid', 'taxonkit', 'taxonomy']",Go,2025
9,twbattaglia/RNAseq-workflow,450,"['bioinformatics', 'genes', 'pipeline', 'rna-seq', 'science', 'sequencing', 'workflow']",R,2017
733,amkozlov/raxml-ng,448,"['bioinformatics', 'maximum-likelihood', 'mpi', 'phylogenetics', 'pthreads']",C++,2025
734,seqan/seqan3,445,"['bioinformatics', 'blast', 'cpp-concepts', 'cpp20', 'fasta', 'fastq', 'fm-index', 'modern', 'samtools', 'seqan', 'sequence-alignment', 'sequence-analysis']",C++,2025
735,gao-lab/GLUE,443,"['bioinformatics', 'deep-learning', 'single-cell', 'single-cell-multiomics']",Python,2025
570,liyu95/Deep_learning_examples,441,"['bioinformatics', 'deep-learning']",Jupyter Notebook,2024
736,FelixKrueger/Bismark,440,"['bioinformatics', 'dna', 'methylation']",HTML,2025
737,haddocking/pdb-tools,436,"['bioinformatics', 'pdb', 'protein', 'python', 'rcsb', 'structural-bioinformatics', 'structural-biology', 'utrecht-university']",Python,2025
738,histolab/histolab,429,"['bioinformatics', 'biology', 'data-science', 'digital-pathology', 'digital-pathology-data', 'hacktoberfest', 'pathology', 'python', 'research', 'science-research', 'wsi']",Python,2025
739,zeqianli/tgv,427,"['bioinformatics', 'genome-viewer', 'ratatui', 'rust']",Rust,2025
740,brentp/cyvcf2,422,"['bioinformatics', 'cython', 'genomics', 'htslib', 'vcf']",Cython,2025
741,arvados/arvados,414,"['arvados', 'aws', 'azure', 'bigdata', 'bioinformatics', 'cloud', 'cluster', 'cwl', 'docker', 'gcp', 'genomics', 'go', 'python', 'ruby', 'workflow', 'workflow-engine']",Go,2025
742,theislab/cellrank,411,"['bioinformatics', 'cell-fate-determination', 'cell-fate-transitions', 'data-science', 'fuzzy-clustering-analyses', 'genetics', 'machine-learning', 'manifold-learning', 'markov-chains', 'rna-velocity', 'single-cell-genomics', 'single-cell-rna-seq', 'trajectory-generation']",Python,2025
473,fritzsedlazeck/SURVIVOR,406,"['bioconda', 'bioinformatics', 'comparison', 'simulator', 'structural-variations', 'survivor', 'vcf']",C++,2023
743,stuart-lab/signac,398,"['atac', 'bioinformatics', 'single-cell']",R,2025
744,ACEnglish/truvari,393,"['annotation-tool', 'benchmarking', 'bioinformatics', 'data-science', 'genomics', 'sequencing', 'structural-variation', 'sv-merging', 'vcf', 'vcf-comparison']",Python,2025
745,brentp/vcfanno,392,"['annotation', 'bioinformatics', 'genomics', 'vcf']",Go,2025
746,lh3/miniprot,389,"['bioinformatics', 'sequence-alignment']",C,2025
283,Illumina/strelka,389,"['bioinformatics', 'indels', 'snps', 'snvs']",C++,2021
571,AllenInstitute/AllenSDK,373,"['bioinformatics', 'scientific']",Jupyter Notebook,2024
572,kpatel427/YouTubeTutorials,365,"['bioinformatics', 'bioinformatics-analysis', 'rna-seq', 'single-cell', 'tutorials', 'youtube']",R,2024
284,Boyle-Lab/Blacklist,333,['bioinformatics'],C++,2021
573,theislab/scgen,329,"['bioinformatics', 'deep-learning', 'generative-model', 'scrna-seq', 'single-cell', 'single-cell-genomics', 'transcriptomics']",Python,2024
115,bionode/bionode,314,"['bioinformatics', 'bionode', 'metapackage', 'nodejs', 'os4openscience', 'tools']",JavaScript,2019
474,rvalieris/parallel-fastq-dump,301,['bioinformatics'],Python,2023
574,lmdu/pyfastx,289,"['assembly', 'bioinformatics', 'biology', 'dna', 'fasta', 'fastq', 'genome', 'python', 'sequence']",C,2024
285,lh3/wgsim,283,"['bioinformatics', 'genomics']",C,2021
286,GoekeLab/bioinformatics-workflows,281,"['bioinformatics', 'bioinformatics-workflows', 'pipeline', 'rna-seq', 'workflow', 'workflow-management']",Python,2021
475,ababaian/serratus,275,"['aws', 'bioinformatics', 'coronavirus', 'covid19', 'open-science', 'sars-cov-2']",Jupyter Notebook,2023
575,ismorphism/DeepECG,273,"['bioinformatics', 'cardio', 'chemoinformatics', 'cinc-challenge', 'convolutional-neural-networks', 'dataset', 'deep-learning', 'ecg', 'ecg-classification', 'electrode-voltage-measurements', 'heart-rate', 'keras', 'mit-bh', 'neural-network', 'physiological-signals', 'physiology', 'python', 'qrs', 'recurrent-neural-networks', 'tensorflow']",Python,2024
188,sanger-pathogens/snp-sites,271,"['bioinformatics', 'bioinformatics-pipeline', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing']",C,2020
476,bioSyntax/bioSyntax,271,"['bam', 'bioinformatics', 'computational-biology', 'fasta', 'gedit', 'less', 'pdb', 'sublime-text', 'syntax-highlighting', 'vcf', 'vim']",Shell,2023
576,adaptyvbio/ProteinFlow,269,"['bioinformatics', 'dataset', 'deep-learning', 'protein-data-bank', 'protein-design', 'protein-structure']",Python,2024
477,BioJulia/Bio.jl,266,"['bioinformatics', 'biojulia', 'biojulia-packages', 'biology', 'deprecated', 'dna', 'genomics']",Julia,2023
577,linsalrob/ComputationalGenomicsManual,265,"['bioinformatics', 'genomics', 'online-class']",HTML,2024
378,BenLangmead/bowtie,265,"['bioinformatics', 'c-plus-plus', 'genomics', 'read-aligners']",C++,2022
189,tiagoantao/bioinf-python,262,"['bioinformatics', 'python']",OpenEdge ABL,2020
287,BIMSBbioinfo/janggu,257,"['bioinformatics', 'deep-learning', 'epigenetics', 'genomics', 'machine-learning']",Jupyter Notebook,2021
578,franciscozorrilla/metaGEM,253,"['bioinformatics', 'computational-biology', 'flux-balance-analysis', 'genome-scale-metabolic-model', 'gut-microbiome', 'mags', 'metabolic-modeling', 'metabolic-models', 'metabolism', 'metagenome-assembled-genomes', 'metagenomics', 'microbial-ecology', 'microbiome', 'snakemake', 'systems-biology']",Python,2024
579,sanger-pathogens/circlator,249,"['bioinformatics', 'bioinformatics-pipeline', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing']",Python,2024
190,sumanismcse/Plant-Disease-Identification-using-CNN,248,"['bioinformatics', 'bioinformatics-analysis', 'cnn', 'convolutional-neural-networks', 'final-project', 'final-year-project', 'image-analysis', 'image-processing', 'kaggle', 'machine-learning', 'machine-learning-algorithms', 'machinelearning', 'neural', 'neural-networks', 'neuralnetwork', 'paper-implementations', 'plant-disease', 'project', 'python', 'tensorflow']",Python,2020
580,slowkow/harmonypy,246,"['bioinformatics', 'data-integration', 'data-science', 'single-cell-analysis']",Python,2024
581,fbreitwieser/krakenuniq,242,"['bioinformatics', 'metagenomics']",C++,2024
288,Benjamin-Lee/deep-rules,227,"['bioinformatics', 'biology', 'computational-biology', 'data-science', 'deep-learning', 'genomics', 'machine-learning', 'manubot', 'manuscript']",HTML,2021
191,OpenGene/AfterQC,212,"['adapter-trimming', 'bioinformatics', 'error', 'fastq', 'filtering', 'ngs', 'overlap', 'qc', 'quality-control', 'sequencing', 'trimming']",Python,2020
582,XSLiuLab/Workshop,201,"['bioinformatics', 'data-science', 'r', 'workshop']",HTML,2024
192,rnnh/bioinfo-notebook,200,"['bash', 'bash-script', 'bioconda', 'bioinformatics', 'bioinformatics-notebook', 'bioinformatics-programs', 'conda', 'fastq-dump', 'featurecounts', 'ubuntu', 'video-demonstration', 'windows-subsystem']",Shell,2020
379,pnpnpn/dna2vec,191,"['bioinformatics', 'computational-biology', 'embeddings', 'machine-learning', 'ml', 'neural-network', 'nlp', 'python', 'word-embeddings', 'word2vec']",Python,2022
583,mikelove/bioc-refcard,190,"['bioconductor', 'bioinformatics', 'cheatsheet', 'compbio', 'guide', 'howto', 'microarray', 'r', 'rnaseq']",HTML,2024
289,lh3/biofast,185,['bioinformatics'],C,2021
585,MannLabs/alphapept,184,"['alphapept-ecosystem', 'bioinformatics', 'mass-spectrometry', 'proteomics']",HTML,2024
584,GreenleafLab/chromVAR,184,"['atac-seq', 'bioinformatics', 'dnase-seq', 'r']",R,2024
478,sanger-pathogens/ariba,182,"['bioinformatics', 'bioinformatics-pipeline', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing']",Python,2023
586,hms-dbmi/scde,177,"['analysis', 'bioinformatics', 'heterogenity', 'ngs', 'r', 'single-cell', 'transcriptomics']",R,2024
290,lh3/readfq,176,"['bioinformatics', 'sequence-analysis']",C,2021
588,getzlab/rnaseqc,175,"['bioinformatics', 'rna-seq', 'rnaseq']",C++,2024
587,dpryan79/MethylDackel,175,"['bioinformatics', 'bisulfite', 'methylation', 'methylation-extraction']",C,2024
291,malonge/RaGOO,174,"['bioinformatics', 'genome-assembly', 'genome-scaffolding']",Python,2021
479,aquaskyline/Clairvoyante,173,"['bioinformatics', 'computational-biology', 'deep-learning', 'variant-calling']",Python,2023
193,lh3/kmer-cnt,171,"['bioinformatics', 'genomics', 'k-mer-counting']",C++,2020
589,moshi4/pyMSAviz,170,"['bioinformatics', 'genomics', 'matplotlib', 'msa', 'multiple-sequence-alignment', 'python', 'sequence-alignment', 'sequence-analysis', 'visualization']",Python,2024
590,lh3/cgranges,169,"['algorithm', 'bioinformatics', 'genomics']",C,2024
591,mlin/GenomicSQLite,168,"['bioinformatics', 'genomics', 'sequencing', 'sqlite', 'sqlite3']",C++,2024
592,FreshAirTonight/af2complex,167,"['alphafold2', 'bioinformatics', 'deep-learning', 'protein-complexes', 'protein-protein-docking', 'protein-protein-interaction', 'protein-structure-prediction']",Python,2024
593,jdblischak/smk-simple-slurm,165,"['bioinformatics', 'slurm', 'snakemake', 'snakemake-profile']",Shell,2024
480,fjossinet/RNArtist,164,"['bioinformatics', 'java', 'javafx-application', 'kotlin', 'rna', 'rna-secondary-structure', 'rna-structure']",Kotlin,2023
292,lightaime/sgas,163,"['3d-point-clouds', 'automl', 'bioinformatics', 'computer-vision', 'deep-gcns', 'geometric-deep-learning', 'graph-neural-networks', 'neural-architecture-search']",Python,2021
594,soedinglab/plass,163,"['bioinformatics', 'metagenomics', 'metatranscriptomics', 'opensource', 'proteins', 'proteomics', 'sequence-assembler']",C,2024
380,YaoLab-Bioinfo/shinyCircos,158,"['bioinformatics', 'circos', 'circos-graphs', 'r', 'shiny', 'shiny-server']",HTML,2022
595,guma44/GEOparse,158,"['bioinformatics', 'geo-database', 'high-throughput-sequencing', 'htseq', 'microarray', 'rna-seq', 'rna-sequencing']",Jupyter Notebook,2024
